timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
259955870,32767,32767,32767,32767,32767,-40,32767
259959868,32767,32767,32767,32767,-44,32767,32767
259963869,32767,32767,32767,32767,32767,32767,32767
259967890,32767,32767,32767,32767,32767,-72,32767
259971875,32767,32767,32767,32767,-63,32767,32767
259975868,32767,32767,32767,32767,32767,-40,32767
259979869,32767,32767,32767,32767,32767,32767,32767
259983868,32767,32767,32767,32767,32767,32767,32767
259987916,32767,32767,32767,32767,32767,-73,32767
259991869,32767,32767,32767,32767,-48,32767,32767
259995918,32767,32767,32767,32767,32767,32767,32767
259999869,32767,32767,32767,32767,32767,32767,32767
260003908,32767,32767,32767,32767,-59,32767,32767
260007869,32767,32767,32767,32767,32767,-72,32767
260011869,32767,32767,32767,32767,32767,32767,32767
260015871,32767,32767,32767,32767,-68,-64,32767
260019875,32767,32767,32767,32767,32767,32767,32767
260023883,32767,32767,32767,32767,32767,-40,32767
260027869,32767,32767,32767,32767,32767,32767,32767
260031893,32767,32767,32767,32767,32767,32767,32767
260035901,32767,32767,32767,32767,-59,-65,32767
260039875,32767,32767,32767,32767,32767,32767,32767
260043869,32767,32767,32767,32767,32767,-40,32767
260047869,32767,32767,32767,32767,-71,32767,32767
260051890,32767,32767,32767,32767,32767,32767,32767
260055869,32767,32767,32767,32767,-55,-63,32767
260059899,32767,32767,32767,32767,32767,32767,32767
260063870,32767,32767,32767,32767,32767,-40,32767
260067869,32767,32767,32767,32767,32767,32767,32767
260071877,32767,32767,32767,32767,32767,32767,32767
260075869,32767,32767,32767,32767,32767,-55,32767
260079875,32767,32767,32767,32767,-70,32767,32767
260083870,32767,32767,32767,32767,32767,-40,32767
260087893,32767,32767,32767,32767,-47,32767,32767
260091886,32767,32767,32767,32767,32767,32767,32767
260095869,32767,32767,32767,32767,32767,-64,32767
260099876,32767,32767,32767,32767,-63,32767,32767
260103908,32767,32767,32767,32767,32767,-41,32767
260107869,32767,32767,32767,32767,32767,32767,32767
260111907,32767,32767,32767,32767,32767,32767,32767
260115903,32767,32767,32767,32767,32767,-73,32767
260119875,32767,32767,32767,32767,-58,32767,32767
260123918,32767,32767,-67,32767,32767,-41,32767
260127869,32767,32767,32767,32767,32767,32767,32767
260131869,32767,32767,32767,32767,-60,32767,32767
260135886,32767,32767,32767,32767,32767,-72,32767
260139875,32767,32767,32767,32767,32767,32767,32767
260143869,32767,32767,32767,32767,-73,-40,32767
260147868,32767,32767,32767,32767,32767,32767,32767
260151869,32767,32767,32767,32767,32767,32767,32767
260155907,32767,32767,32767,32767,32767,-73,32767
260159875,32767,32767,32767,32767,32767,32767,32767
260163886,32767,32767,32767,32767,-58,-40,32767
260167869,32767,32767,32767,32767,32767,32767,32767
260171914,32767,32767,32767,32767,32767,32767,32767
260175869,32767,32767,32767,32767,-71,-72,32767
260179875,32767,32767,32767,32767,32767,32767,32767
260183869,32767,32767,32767,32767,-48,-40,32767
260187869,32767,32767,32767,32767,32767,32767,32767
260191869,32767,32767,32767,32767,32767,32767,32767
260195868,32767,32767,32767,32767,32767,-72,32767
260199893,32767,32767,32767,32767,32767,32767,32767
260203869,32767,32767,32767,32767,32767,-40,32767
260207869,32767,32767,32767,32767,-73,32767,32767
260211869,32767,32767,32767,32767,32767,32767,32767
260215869,32767,32767,32767,32767,-44,-72,32767
260219886,32767,32767,32767,32767,32767,32767,32767
260223869,32767,32767,32767,32767,32767,-56,32767
260227893,32767,32767,32767,32767,-62,32767,32767
260231869,32767,32767,32767,32767,32767,-40,32767
260235869,32767,32767,32767,32767,32767,32767,32767
260239874,32767,32767,32767,32767,32767,32767,32767
260243869,32767,32767,32767,32767,32767,-56,32767
260247875,32767,32767,32767,32767,-48,32767,32767
260251918,32767,32767,32767,32767,32767,-41,32767
260255887,32767,32767,32767,32767,32767,32767,32767
260259893,32767,32767,32767,32767,-55,32767,32767
260263869,32767,32767,32767,32767,32767,-55,32767
260267875,32767,32767,32767,32767,32767,32767,32767
260271907,32767,32767,32767,32767,-69,-41,32767
260275869,32767,32767,32767,32767,32767,32767,32767
260279873,32767,32767,32767,32767,32767,32767,32767
260283887,32767,32767,32767,32767,32767,-56,32767
260287875,32767,32767,32767,32767,32767,32767,32767
260291871,32767,32767,32767,32767,-58,-40,32767
260295869,32767,32767,32767,32767,32767,32767,32767
260299874,32767,32767,32767,32767,32767,32767,32767
260303886,32767,32767,32767,32767,-73,-48,32767
260307111,32767,32767,32767,32767,32767,32767,32767
260311068,32767,32767,32767,32767,32767,32767,32767
260315069,32767,32767,32767,32767,-63,-72,32767
260319115,32767,32767,32767,32767,32767,32767,32767
260323069,32767,32767,-49,32767,32767,-56,32767
260327121,32767,32767,32767,32767,32767,32767,32767
260331068,32767,32767,32767,32767,32767,-39,32767
260335068,32767,32767,32767,32767,-47,32767,32767
260339118,32767,32767,32767,32767,32767,32767,32767
260343068,32767,32767,32767,32767,32767,-64,32767
260347097,32767,32767,32767,32767,-60,32767,32767
260351068,32767,32767,32767,32767,32767,-40,32767
260355068,32767,32767,32767,32767,32767,32767,32767
260359070,32767,32767,32767,32767,-67,32767,32767
260363075,32767,32767,32767,32767,32767,-64,32767
260367095,32767,32767,32767,32767,32767,32767,32767
260371075,32767,32767,32767,32767,32767,-40,32767
260375069,32767,32767,32767,32767,32767,32767,32767
260379091,32767,32767,32767,32767,-45,32767,32767
260383069,32767,32767,32767,32767,32767,-64,32767
260387075,32767,32767,32767,32767,32767,32767,32767
260391101,32767,32767,32767,32767,-61,-41,32767
260395076,32767,32767,32767,32767,32767,32767,32767
260399069,32767,32767,32767,32767,32767,32767,32767
260403069,32767,32767,32767,32767,-67,-64,32767
260407075,32767,32767,32767,32767,32767,32767,32767
260411075,32767,32767,32767,32767,32767,-40,32767
260415068,32767,32767,32767,32767,32767,32767,32767
260419087,32767,32767,32767,32767,32767,32767,32767
260423070,32767,32767,32767,32767,-70,-64,32767
260427083,32767,32767,32767,32767,32767,32767,32767
260431073,32767,32767,32767,32767,-40,-40,32767
260435068,32767,32767,32767,32767,32767,32767,32767
260439068,32767,32767,32767,32767,32767,32767,32767
260443068,32767,32767,32767,32767,-50,-72,32767
260447114,32767,32767,32767,32767,32767,32767,32767
260451069,32767,32767,32767,32767,32767,-39,32767
260455093,32767,32767,32767,32767,32767,32767,32767
260459069,32767,32767,32767,32767,32767,32767,32767
260463076,32767,32767,32767,32767,32767,-72,32767
260467118,32767,32767,32767,32767,-69,32767,32767
260471076,32767,32767,32767,32767,32767,-39,32767
260475069,32767,32767,32767,32767,-40,32767,32767
260479069,32767,32767,32767,32767,32767,32767,32767
260483069,32767,32767,32767,32767,32767,-72,32767
260487117,32767,32767,32767,32767,-51,32767,32767
260491069,32767,32767,32767,32767,32767,-39,32767
260495080,32767,32767,32767,32767,32767,32767,32767
260499069,32767,32767,32767,32767,32767,32767,32767
260503069,32767,32767,32767,32767,32767,-72,32767
260507096,32767,32767,32767,32767,32767,32767,32767
260511069,32767,32767,32767,32767,-70,-40,32767
260515099,32767,32767,32767,32767,32767,32767,32767
260519069,32767,32767,32767,32767,-50,32767,32767
260523070,32767,32767,32767,32767,32767,-72,32767
260527068,32767,32767,-127,32767,32767,32767,32767
260531070,32767,32767,32767,32767,-60,-56,32767
260535089,32767,32767,32767,32767,32767,32767,32767
260539090,32767,32767,32767,32767,32767,32767,32767
260543072,32767,32767,32767,32767,32767,-72,32767
260547069,32767,32767,32767,32767,32767,32767,32767
260551087,32767,32767,32767,32767,-50,-64,32767
260555076,32767,32767,32767,32767,32767,32767,32767
260559111,32767,32767,32767,32767,32767,-41,32767
260563068,32767,32767,32767,32767,-60,32767,32767
260567070,32767,32767,32767,32767,32767,32767,32767
260571069,32767,32767,32767,32767,32767,-64,32767
260575107,32767,32767,32767,32767,-71,32767,32767
260579075,32767,32767,32767,32767,32767,-40,32767
260583068,32767,32767,32767,32767,32767,32767,32767
260587069,32767,32767,32767,32767,32767,32767,32767
260591070,32767,32767,32767,32767,32767,-64,32767
260595118,32767,32767,32767,32767,-51,32767,32767
260599069,32767,32767,32767,32767,32767,-39,32767
