timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
375092043,-0.21688794,0.007551428,-0.0047352407,0.0068347733,-0.01747563,-0.010335766,0.0
375124004,-0.06177848,0.06510376,-0.0028326192,0.006935341,-0.017261902,-0.010360863,0.0
375156093,-0.042967,0.25290227,-0.016420448,0.0069788774,-0.017093087,-0.010404739,0.0
375188045,0.027300935,0.25827676,-0.0058732615,0.0069667646,-0.016993735,-0.010444365,0.0
375220048,-0.036718246,0.21723741,-0.026150879,0.0069761407,-0.0169873,-0.010455435,0.0
375248018,0.04334495,0.27089962,0.0005587897,0.0069974903,-0.017068977,-0.010448562,0.0
375280067,-0.028402504,0.2094915,-0.031051675,0.007043635,-0.017303806,-0.010425582,0.0
375312013,-0.036818285,0.071626395,-0.008938092,0.006984158,-0.017333703,-0.010453649,0.0
375344071,0.16796859,-0.038321495,-0.0029233978,0.0068477015,-0.017055163,-0.010465531,0.0
375376017,0.0039267354,0.06481122,7.237679e-05,0.0067638243,-0.016756823,-0.010528018,0.0
375408049,0.024269838,0.17971787,0.011021351,0.006753379,-0.016723905,-0.010580553,0.0
375439309,-0.08863974,0.18344925,-0.017365627,0.0068185353,-0.016784858,-0.010611263,0.0
375471299,-0.070205264,0.09428772,0.009171244,0.006886281,-0.016707642,-0.010698245,0.0
375504072,0.049541853,0.12243522,0.02302836,0.006935539,-0.016564894,-0.010794227,0.0
375532111,0.04788163,0.21106166,-0.022349972,0.006857349,-0.016604401,-0.010838337,0.0
375567239,0.010507676,0.068591215,-0.0010462231,0.006792068,-0.016653683,-0.010873944,0.0
375595227,-0.14450048,0.07736069,-0.027901264,0.0068909423,-0.016547129,-0.010893601,0.0
375627231,0.020847961,0.11843027,-0.016826313,0.0069127018,-0.016432956,-0.010918861,0.0
375659299,0.06286771,0.16353615,-0.008297908,0.006810837,-0.016452791,-0.010946013,0.0
375691221,0.0074161855,0.07980797,-0.0015725367,0.0067788367,-0.016514527,-0.010973614,0.0
375723270,-0.0035103378,0.049578726,-0.007541485,0.006836764,-0.016622031,-0.0109928455,0.0
375755229,0.009304196,-0.042826556,-0.008327294,0.0068935268,-0.016671812,-0.011007259,0.0
375787247,0.008458616,-0.13395701,-0.009169625,0.0069508776,-0.016790047,-0.011017625,0.0
375819282,0.06694713,-0.23385598,-0.014200199,0.0069704643,-0.01704489,-0.011014395,0.0
375847210,0.06375634,-0.27466267,-0.02777573,0.0069575734,-0.017312247,-0.010994131,0.0
375879267,0.15320739,-0.5322103,-0.014457609,0.007022332,-0.017395874,-0.010968006,0.0
375911223,0.009473188,-0.5708307,-0.05089193,0.007277971,-0.017086035,-0.010919454,0.0
375943252,0.1323648,-0.50952625,-0.02354887,0.0075170225,-0.016638948,-0.0108414525,0.0
375975284,0.33082747,-0.23696361,-0.025538126,0.0076199467,-0.016380608,-0.010783516,0.0
376007207,0.35975766,-0.031655733,-0.032996256,0.0075076604,-0.016365793,-0.010731714,0.0
376039341,0.41996655,-0.14209422,-0.0124642365,0.0072705913,-0.016365651,-0.010685614,0.0
376071249,0.3290524,-0.20769793,-0.020850737,0.007021086,-0.016153155,-0.010645656,0.0
376103290,0.14403543,-0.121421956,-0.030060818,0.006962196,-0.015856234,-0.01058941,0.0
376135208,0.09560267,-0.05441799,-0.01740887,0.0069692545,-0.015681976,-0.010511428,0.0
376167248,0.09521258,-0.034985665,-0.02228361,0.006919889,-0.015689926,-0.010436598,0.0
376199301,0.093767226,0.11039036,-0.048152994,0.00681615,-0.015782343,-0.010345582,0.0
376230404,0.04764198,0.050810076,-0.026959393,0.0066883257,-0.015885567,-0.010254071,0.0
376263208,-0.076473825,0.000603425,-0.013416328,0.006639087,-0.01596975,-0.0101631135,0.0
376293647,-0.10998819,-0.15710814,-0.014402252,0.0066818423,-0.015841123,-0.010086716,0.0
376326452,-0.17852367,-0.104485646,-0.03283782,0.00677872,-0.015615539,-0.00997905,0.0
376358431,-0.09180756,0.015712885,-0.023852343,0.006726814,-0.0155642275,-0.009881499,0.0
376390422,-0.2540186,-0.0076640975,-0.015077252,0.0064043803,-0.01554337,-0.009825013,0.0
376422442,-0.42514685,-0.0960683,-0.005750613,0.0063663637,-0.015426511,-0.009753432,0.0
376454463,-0.45326337,0.0059016403,-0.022459332,0.0066864113,-0.01528292,-0.009675285,0.0
376486498,-0.2531905,0.1153955,-0.021884209,0.006943193,-0.015249949,-0.009623744,0.0
376518442,-0.06418587,0.10024352,-0.01634428,0.006946177,-0.01533233,-0.009572152,0.0
376550461,-0.054300234,1.2569537e-05,-0.004016851,0.0069327094,-0.015342214,-0.009531172,0.0
376578415,-0.11558433,-0.05877977,-0.00315787,0.0069640814,-0.015271146,-0.009500278,0.0
376610436,-0.11309055,-0.020120192,-0.010520667,0.0070037753,-0.015190535,-0.009459802,0.0
376642431,-0.06728768,0.02434732,-0.012022831,0.007050871,-0.015139853,-0.0094131315,0.0
