timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
388497658,32767,32767,32767,32767,32767,32767,32767,32767
388501622,32767,32767,32767,32767,-62,32767,32767,32767
388505622,32767,32767,32767,32767,32767,32767,32767,32767
388509635,32767,32767,32767,32767,32767,32767,32767,32767
388513621,32767,-9,32767,32767,32767,-86,32767,32767
388517703,32767,32767,32767,32767,32767,32767,32767,32767
388521622,32767,32767,32767,32767,-51,32767,32767,32767
388525622,32767,32767,32767,32767,32767,32767,32767,32767
388529622,32767,32767,32767,32767,32767,32767,32767,32767
388533622,32767,32767,32767,32767,-54,-53,32767,32767
388537652,32767,32767,32767,32767,32767,32767,32767,32767
388541621,32767,32767,32767,32767,-37,32767,32767,32767
388545671,32767,-13,32767,32767,32767,32767,32767,32767
388549622,32767,32767,32767,32767,32767,32767,32767,32767
388553622,32767,32767,32767,32767,32767,32767,32767,32767
388557651,32767,32767,32767,32767,32767,-62,32767,32767
388561622,32767,32767,32767,32767,32767,32767,32767,32767
388565634,32767,32767,32767,32767,-58,32767,32767,32767
388569622,32767,32767,32767,32767,32767,32767,32767,32767
388573622,32767,32767,32767,32767,32767,32767,32767,32767
388577652,32767,-13,32767,32767,-71,32767,32767,32767
388581658,32767,32767,32767,32767,32767,-67,32767,32767
388585622,32767,32767,32767,32767,-42,32767,32767,32767
388589628,32767,32767,32767,32767,32767,32767,32767,32767
388593622,32767,32767,-41,32767,32767,32767,32767,32767
388597651,32767,32767,32767,32767,32767,32767,32767,32767
388601628,32767,32767,32767,32767,32767,32767,32767,32767
388605622,32767,32767,32767,32767,32767,-53,32767,32767
388609627,32767,-9,32767,32767,-67,32767,32767,32767
388613622,32767,32767,32767,32767,32767,32767,32767,32767
388617652,32767,32767,32767,32767,32767,32767,32767,32767
388621633,32767,32767,32767,32767,-66,32767,32767,32767
388625622,32767,32767,32767,32767,32767,32767,32767,32767
388629671,32767,32767,32767,32767,-45,-54,32767,32767
388633622,32767,32767,32767,32767,32767,32767,32767,32767
388637652,32767,32767,32767,32767,32767,32767,32767,32767
388641646,32767,-18,32767,32767,32767,32767,32767,32767
388645622,32767,32767,32767,32767,32767,32767,32767,32767
388649640,32767,32767,32767,32767,-52,32767,32767,32767
388653622,32767,32767,32767,32767,32767,-52,32767,32767
388657652,32767,32767,32767,32767,32767,32767,32767,32767
388661622,32767,32767,32767,32767,-61,32767,32767,32767
388665622,32767,32767,32767,32767,32767,32767,32767,32767
388669622,32767,32767,32767,32767,32767,32767,32767,32767
388673622,32767,-19,32767,32767,-67,32767,32767,32767
388677652,32767,32767,32767,32767,32767,-58,32767,32767
388681622,32767,32767,32767,32767,32767,32767,32767,32767
