timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
72654702,0,263178,0.1486137,-0.061570607,0.33636302,49.89448,0.0015,236,-124,-240,0
72754701,0,263178,0.19005898,-0.08420924,0.3318192,49.897476,0.0015,249,-147,-237,0
72854702,0,263178,0.1774452,-0.0929164,0.34847978,49.903465,0.0015,254,-140,-248,0
72965922,0,263178,0.16302946,-0.08595067,0.3333338,49.930424,0.0015,250,-132,-238,0
73065902,0,263178,0.16122748,-0.09465784,0.34393597,49.915447,0.0015,255,-131,-245,0
73165902,0,263178,0.1954649,-0.08943354,0.3030419,49.90047,0.0015,252,-150,-218,0
73266702,0,263178,0.16302946,-0.09988214,0.3060711,49.921436,0.0015,258,-132,-220,0
73368346,0,263178,0.19366291,-0.08420924,0.2984981,49.91844,0.0015,249,-149,-215,0
73467501,0,263178,0.1666334,-0.072019204,0.3060711,49.92443,0.0015,242,-134,-220,0
73568345,0,263178,0.16483141,-0.06679491,0.33484843,49.939407,0.0015,239,-133,-239,0
73668344,0,263178,0.18645506,-0.07027777,0.2924397,49.936413,0.0015,241,-145,-211,0
73770701,0,263178,0.18645506,-0.063312046,0.31970245,49.92443,0.0015,237,-145,-229,0
73879516,0,263178,0.17023733,-0.061570607,0.31515867,49.954384,0.0015,236,-136,-226,0
73970702,0,263178,0.17384127,-0.06505348,0.32727543,49.95139,0.0015,238,-138,-234,0
74081104,0,263178,0.1666334,-0.0824678,0.33030462,49.9454,0.0015,248,-134,-236,0
74181902,0,263178,0.17564324,-0.045897715,0.31970245,49.930424,0.0015,227,-139,-229,0
74281902,0,263178,0.16302946,-0.04763915,0.3030419,49.97535,0.0015,228,-132,-218,0
74372318,0,263178,0.15401962,-0.05982918,0.3378776,49.948395,0.0015,235,-127,-241,0
74483511,0,263178,0.15942553,-0.051122013,0.30910027,49.960373,0.0015,230,-130,-222,0
74583502,0,263178,0.18285112,-0.06679491,0.31364408,49.999313,0.0015,239,-143,-225,0
74684302,0,263178,0.15401962,-0.05982918,0.32879004,49.939407,0.0015,235,-127,-235,0
74784301,0,263178,0.16843536,-0.07724351,0.3045565,49.984337,0.0015,245,-135,-219,0
74886701,0,263178,0.15942553,-0.078984946,0.33636302,49.999313,0.0015,246,-130,-240,0
74995502,0,263178,0.15762354,-0.07376064,0.3469652,49.95738,0.0015,243,-129,-247,0
