timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
350476669,-0.0004761943,0.0010377248,-0.004508723,-0.3701779,-0.0033669015,-0.0012325861,-0.928954,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350508669,-0.0014318522,0.0008281389,-0.004400285,-0.37022415,-0.0033505445,-0.001235498,-0.9289357,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350540693,-0.00016740803,0.0021240087,-0.0025933946,-0.37026682,-0.003360471,-0.0012309084,-0.92891866,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350572675,0.00038149732,-0.00056057546,-0.004814815,-0.3703188,-0.00336348,-0.0012231077,-0.9288978,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350604669,-0.0019470211,-0.0010015725,-0.0068326304,-0.37038395,-0.0033550651,-0.0012164307,-0.9288719,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350636669,-0.0014286127,0.00082141237,-0.0040776487,-0.37041777,-0.0033504483,-0.0012079319,-0.9288585,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350668669,0.0007051254,0.00039603794,-0.0050259205,-0.37046963,-0.0033358447,-0.0012045784,-0.92883784,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350700673,0.0005151271,0.0006717131,-0.0048689623,-0.37052163,-0.003340274,-0.001196955,-0.9288171,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350732675,-0.001751286,-0.0011899055,-0.0038336457,-0.37056884,-0.003338709,-0.0011999262,-0.9287983,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350764669,0.0009057394,-0.002138632,-0.003288591,-0.37059608,-0.0033411046,-0.001195046,-0.9287874,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350796668,-0.0009972756,-0.001305831,-0.0044850535,-0.37063864,-0.0033485633,-0.0011927716,-0.9287704,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350828680,0.00048714422,0.0010409175,-0.0037451244,-0.37068063,-0.003356102,-0.001186768,-0.9287537,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350856696,-0.0026007076,0.00073018204,-0.003755407,-0.37070674,-0.0033589243,-0.0011882447,-0.92874324,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350888669,6.826338e-05,0.0015675011,-0.0048143426,-0.3707522,-0.0033618554,-0.0011893709,-0.928725,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350920675,0.00017134938,0.0008178187,-0.004387919,-0.37080127,-0.0033523052,-0.0011903077,-0.9287055,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350952669,-4.2528147e-05,-0.0003599046,-0.005113192,-0.37084085,-0.003353509,-0.0011883772,-0.9286896,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
350984713,-3.4047407e-05,0.0020919659,-0.0039706593,-0.37088892,-0.0033530667,-0.0011966641,-0.92867047,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
351016669,0.00028246024,0.0010350287,-0.004808276,-0.37094235,-0.0033588735,-0.0012021067,-0.9286491,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
351047069,-0.0019524632,-0.0005606149,-0.004489555,-0.3709785,-0.0033510705,-0.0011993065,-0.92863464,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
351080708,0.0006051479,-0.0014962561,-0.005373335,-0.37103197,-0.003358105,-0.0012036014,-0.9286133,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
351108669,0.00059796113,-0.0013013328,-0.003515792,-0.37106916,-0.0033640852,-0.0011994531,-0.92859846,0.99983305,7.0253416e-05,-8.834456e-05,0.018276114,3
