timestamp,min_distance,max_distance,current_distance,covariance,signal_quality,type,id,orientation
195627626,0.01,50.0,4.0699997,0.0,4,0,4,6
195659343,0.01,50.0,4.06,0.0,4,0,4,6
195691046,0.01,50.0,4.0299997,0.0,-68,0,4,6
195723524,0.01,50.0,4.0,0.0,4,0,4,6
195755641,0.01,50.0,4.0,0.0,4,0,4,6
195787013,0.01,50.0,3.9499998,0.0,4,0,4,6
195819769,0.01,50.0,3.85,0.0,4,0,4,6
195852321,0.01,50.0,3.4199998,0.0,4,0,4,6
195884187,0.01,50.0,3.07,0.0,4,0,4,6
195916315,0.01,50.0,2.75,0.0,4,0,4,6
195948319,0.01,50.0,2.69,0.0,4,0,4,6
195980772,0.01,50.0,2.52,0.0,64,0,4,6
196012755,0.01,50.0,2.32,0.0,64,0,4,6
196044570,0.01,50.0,2.1699998,0.0,4,0,4,6
196076758,0.01,50.0,2.06,0.0,64,0,4,6
196107904,0.01,50.0,1.9499999,0.0,4,0,4,6
196140198,0.01,50.0,1.9799999,0.0,4,0,4,6
196172331,0.01,50.0,2.1699998,0.0,4,0,4,6
196203762,0.01,50.0,2.12,0.0,4,0,4,6
196236203,0.01,50.0,2.5,0.0,4,0,4,6
196268307,0.01,50.0,2.82,0.0,4,0,4,6
196299796,0.01,50.0,3.22,0.0,4,0,4,6
196331355,0.01,50.0,3.57,0.0,4,0,4,6
196363704,0.01,50.0,3.61,0.0,4,0,4,6
196395048,0.01,50.0,3.59,0.0,4,0,4,6
196427348,0.01,50.0,3.57,0.0,4,0,4,6
196458978,0.01,50.0,3.56,0.0,4,0,4,6
196491566,0.01,50.0,3.54,0.0,4,0,4,6
196524601,0.01,50.0,3.5,0.0,4,0,4,6
196556196,0.01,50.0,3.47,0.0,4,0,4,6
196588342,0.01,50.0,3.47,0.0,4,0,4,6
196620324,0.01,50.0,3.4399998,0.0,4,0,4,6
196653273,0.01,50.0,3.4199998,0.0,4,0,4,6
196684657,0.01,50.0,3.4099998,0.0,4,0,4,6
196716944,0.01,50.0,3.3799999,0.0,4,0,4,6
196749440,0.01,50.0,3.35,0.0,4,0,4,6
196781746,0.01,50.0,3.33,0.0,64,0,4,6
196813402,0.01,50.0,3.29,0.0,4,0,4,6
196844915,0.01,50.0,3.28,0.0,4,0,4,6
196876912,0.01,50.0,3.24,0.0,0,0,4,6
196908773,0.01,50.0,3.25,0.0,4,0,4,6
196940584,0.01,50.0,3.1999998,0.0,4,0,4,6
196973125,0.01,50.0,3.1799998,0.0,4,0,4,6
197005112,0.01,50.0,3.1499999,0.0,4,0,4,6
197037364,0.01,50.0,3.12,0.0,4,0,4,6
197069793,0.01,50.0,3.09,0.0,4,0,4,6
197101408,0.01,50.0,3.07,0.0,4,0,4,6
197132951,0.01,50.0,3.06,0.0,4,0,4,6
197165916,0.01,50.0,3.03,0.0,4,0,4,6
197199115,0.01,50.0,3.0,0.0,4,0,4,6
197230226,0.01,50.0,2.95,0.0,4,0,4,6
197262255,0.01,50.0,2.9399998,0.0,4,0,4,6
197294161,0.01,50.0,2.9099998,0.0,4,0,4,6
197325340,0.01,50.0,2.8999999,0.0,4,0,4,6
197358237,0.01,50.0,2.87,0.0,4,0,4,6
197390262,0.01,50.0,2.86,0.0,4,0,4,6
197421335,0.01,50.0,2.83,0.0,4,0,4,6
197453378,0.01,50.0,2.8,0.0,4,0,4,6
197485337,0.01,50.0,2.79,0.0,4,0,4,6
197518219,0.01,50.0,2.79,0.0,4,0,4,6
197549713,0.01,50.0,2.79,0.0,4,0,4,6
197581742,0.01,50.0,2.78,0.0,4,0,4,6
197613780,0.01,50.0,2.77,0.0,4,0,4,6
197645738,0.01,50.0,2.77,0.0,4,0,4,6
197677820,0.01,50.0,2.77,0.0,4,0,4,6
197709749,0.01,50.0,2.77,0.0,4,0,4,6
197741559,0.01,50.0,2.79,0.0,4,0,4,6
197773564,0.01,50.0,2.77,0.0,4,0,4,6
197805564,0.01,50.0,2.77,0.0,4,0,4,6
197837786,0.01,50.0,2.76,0.0,4,0,4,6
197869744,0.01,50.0,2.79,0.0,4,0,4,6
197901731,0.01,50.0,2.79,0.0,4,0,4,6
197933751,0.01,50.0,2.78,0.0,4,0,4,6
197965129,0.01,50.0,2.78,0.0,4,0,4,6
197997831,0.01,50.0,2.78,0.0,4,0,4,6
198029569,0.01,50.0,2.77,0.0,4,0,4,6
198061781,0.01,50.0,2.77,0.0,64,0,4,6
198093757,0.01,50.0,2.78,0.0,64,0,4,6
198125795,0.01,50.0,2.78,0.0,64,0,4,6
198157373,0.01,50.0,2.78,0.0,4,0,4,6
198189748,0.01,50.0,2.77,0.0,64,0,4,6
198221756,0.01,50.0,2.77,0.0,64,0,4,6
198253122,0.01,50.0,2.8,0.0,4,0,4,6
198285065,0.01,50.0,2.79,0.0,64,0,4,6
198315807,0.01,50.0,2.77,0.0,64,0,4,6
198347804,0.01,50.0,2.78,0.0,64,0,4,6
198379764,0.01,50.0,2.78,0.0,64,0,4,6
198410916,0.01,50.0,2.77,0.0,-72,0,4,6
198443368,0.01,50.0,2.78,0.0,64,0,4,6
198475745,0.01,50.0,2.77,0.0,64,0,4,6
198506812,0.01,50.0,2.77,0.0,64,0,4,6
198539555,0.01,50.0,2.77,0.0,64,0,4,6
198571752,0.01,50.0,2.79,0.0,64,0,4,6
198603856,0.01,50.0,2.78,0.0,4,0,4,6
198635756,0.01,50.0,2.77,0.0,64,0,4,6
198667084,0.01,50.0,2.78,0.0,64,0,4,6
198699347,0.01,50.0,2.79,0.0,64,0,4,6
198731749,0.01,50.0,2.78,0.0,64,0,4,6
198762866,0.01,50.0,2.78,0.0,4,0,4,6
198795053,0.01,50.0,2.78,0.0,64,0,4,6
198826897,0.01,50.0,2.78,0.0,0,0,4,6
198858897,0.01,50.0,2.78,0.0,64,0,4,6
198891318,0.01,50.0,2.77,0.0,4,0,4,6
198923768,0.01,50.0,2.77,0.0,64,0,4,6
198954903,0.01,50.0,2.78,0.0,0,0,4,6
198986866,0.01,50.0,2.79,0.0,64,0,4,6
199018555,0.01,50.0,2.78,0.0,0,0,4,6
199051026,0.01,50.0,2.79,0.0,64,0,4,6
199082948,0.01,50.0,2.78,0.0,64,0,4,6
199114567,0.01,50.0,2.78,0.0,64,0,4,6
199147166,0.01,50.0,2.78,0.0,64,0,4,6
199179013,0.01,50.0,2.78,0.0,4,0,4,6
199211319,0.01,50.0,2.78,0.0,4,0,4,6
199242836,0.01,50.0,2.77,0.0,64,0,4,6
199275079,0.01,50.0,2.79,0.0,64,0,4,6
199308141,0.01,50.0,2.76,0.0,4,0,4,6
199339792,0.01,50.0,2.79,0.0,64,0,4,6
199371017,0.01,50.0,2.78,0.0,4,0,4,6
199403400,0.01,50.0,2.78,0.0,64,0,4,6
199435794,0.01,50.0,2.78,0.0,0,0,4,6
199467051,0.01,50.0,2.78,0.0,64,0,4,6
199498911,0.01,50.0,2.78,0.0,64,0,4,6
199530895,0.01,50.0,2.79,0.0,0,0,4,6
199562907,0.01,50.0,2.79,0.0,0,0,4,6
199593891,0.01,50.0,2.79,0.0,64,0,4,6
199625788,0.01,50.0,2.77,0.0,0,0,4,6
199657948,0.01,50.0,2.76,0.0,64,0,4,6
199689742,0.01,50.0,2.77,0.0,64,0,4,6
199721934,0.01,50.0,2.77,0.0,-72,0,4,6
199753769,0.01,50.0,2.78,0.0,52,0,4,6
199785742,0.01,50.0,2.78,0.0,64,0,4,6
199817993,0.01,50.0,2.78,0.0,64,0,4,6
199849755,0.01,50.0,2.78,0.0,64,0,4,6
199881959,0.01,50.0,2.77,0.0,64,0,4,6
199913919,0.01,50.0,2.77,0.0,64,0,4,6
199945797,0.01,50.0,2.78,0.0,64,0,4,6
199977944,0.01,50.0,2.77,0.0,64,0,4,6
200009936,0.01,50.0,2.78,0.0,64,0,4,6
200041803,0.01,50.0,2.77,0.0,64,0,4,6
200073758,0.01,50.0,2.78,0.0,64,0,4,6
200105749,0.01,50.0,2.8,0.0,64,0,4,6
