timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
184346728,-0.07715382,0.08066498,2.9827893,0.0,0.07764461,-0.043221217,-0.035218704,0.995421,0.50353223,0.0,1,0,0,0,0,0,0
184450065,-0.06716863,0.06585766,2.9827893,0.0,0.078128584,-0.035462547,-0.030844148,0.9958348,0.5031708,0.0,1,0,0,0,0,0,0
184553980,-0.06262654,0.061441015,2.9827893,0.0,0.07828337,-0.033086028,-0.028759666,0.99596685,0.5040406,0.0,1,0,0,0,0,0,0
184650014,-0.055613413,0.055567857,2.9827893,0.0,0.07848707,-0.029886564,-0.025502186,0.9961407,0.50286645,0.0,1,0,0,0,0,0,0
184755697,-0.055575542,0.055661842,2.9827893,0.0,0.07848624,-0.029931886,-0.025479568,0.99613994,0.500813,0.0,1,0,0,0,0,0,0
184852627,-0.089364216,0.090351984,2.9827893,0.0,0.077147424,-0.048512716,-0.040902585,0.9949984,0.4974795,0.0,1,0,0,0,0,0,0
184955749,-0.08359563,0.08434269,2.9827893,0.0,0.07742246,-0.04530073,-0.038275912,0.99523294,0.49735487,0.0,1,0,0,0,0,0,0
185059732,-0.00575366,0.0014864268,2.9827893,0.0,0.0793158,-0.0009690535,-0.0028088111,0.9968452,0.49660602,0.0,1,0,0,0,0,0,0
185155707,7.60704e-06,-3.018333e-06,2.9827893,0.0,0.07931828,1.8061002e-06,3.6718313e-06,0.99684936,0.49629125,0.0,1,0,0,0,0,0,0
185259662,-1.9824085e-10,-9.556953e-10,2.9827893,0.0,0.07931828,4.6848003e-10,-1.3671018e-10,0.99684936,0.4969865,0.0,1,0,0,0,0,0,0
185363762,0.024664119,-0.042508382,2.9827893,0.0,0.07903309,0.022161933,0.010604527,0.9965692,0.496321,0.0,1,0,0,0,0,0,0
186482301,-0.13559608,0.1369233,2.9827893,0.0,0.07433089,-0.073396906,-0.061960917,0.9925969,0.49619612,0.0,1,0,0,0,0,0,0
186587534,-0.10742376,0.10548344,2.9827893,0.0,0.07627248,-0.056727752,-0.049267076,0.99425215,0.4969869,0.0,1,0,0,0,0,0,0
186691131,-0.0070137638,-0.00095362705,2.9827893,0.0,0.07931946,0.00019714907,-0.003533645,0.9968429,0.49597472,0.0,1,0,0,0,0,0,0
186787503,0.032750014,-0.052009255,2.9827893,0.0,0.07885641,0.02721464,0.014255033,0.99641246,0.49641234,0.0,1,0,0,0,0,0,0
186891373,0.05739539,-0.04648901,2.9827893,0.0,0.07859939,0.025434969,0.026752839,0.99622256,0.49622828,0.0,1,0,0,0,0,0,0
186995358,0.018615495,-0.010473501,2.9827893,0.0,0.07926516,0.005958255,0.008862812,0.99679637,0.4962853,0.0,1,0,0,0,0,0,0
187091068,0.009921031,-0.0063447035,2.9827893,0.0,0.07930121,0.0035557682,0.004693219,0.9968333,0.49705684,0.0,1,0,0,0,0,0,0
187194952,1.2081192e-05,6.9297453e-06,2.9827893,0.0,0.07931828,-2.9748262e-06,6.2963913e-06,0.99684936,0.4953236,0.0,1,0,0,0,0,0,0
187299632,7.399736e-09,-1.613053e-09,2.9827893,0.0,0.07931828,1.0974526e-09,3.6242385e-09,0.99684936,0.49039283,0.0,1,0,0,0,0,0,0
187397186,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.33986044,0.0,1,0,0,0,0,0,0
187500466,-0.0,-0.0,2.9827893,0.0,0.07931828,0.0,-0.0,0.99684936,0.097326346,0.0,1,0,0,0,0,0,0
187604722,-0.0,-0.0,3.0241542,-0.0871729,0.058685493,0.0,-0.0,0.99827653,0.08042813,0.0,1,0,0,0,0,0,0
187700673,-0.0,-0.0,3.0376203,-0.38009498,0.05196276,0.0,-0.0,0.99864906,0.08,0.0,1,0,0,0,0,0,0
187804493,-0.0,-0.0,3.0647533,-0.25750333,0.03841023,0.0,-0.0,0.99926203,0.08,0.0,1,0,0,0,0,0,0
187909307,-0.0,-0.0,3.088088,-0.13084285,0.026749123,0.0,-0.0,0.9996422,0.08,0.0,1,0,0,0,0,0,0
188005241,-0.0,-0.0,3.1097617,-0.120858066,0.0159148,0.0,-0.0,0.9998734,0.08,0.0,1,0,0,0,0,0,0
188108512,-0.0,-0.0,3.1342187,-0.12270143,0.0036869722,0.0,-0.0,0.9999932,0.08,0.0,1,0,0,0,0,0,0
188212997,0.0,0.0,-3.1212616,-0.107032694,-0.010165354,-0.0,0.0,0.9999483,0.08,0.0,1,0,0,0,0,0,0
188315011,0.0,0.0,-3.1006427,-0.0734901,-0.020473555,-0.0,0.0,0.99979043,0.08,0.0,1,0,0,0,0,0,0
188418159,0.0,0.0,-3.0837302,-0.038963646,-0.02892718,-0.0,0.0,0.9995816,0.08,0.0,1,0,0,0,0,0,0
188522552,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
188618663,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
188722044,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
188826855,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
188921946,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189026806,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189129989,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189227770,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189331699,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189435905,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189532497,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189635715,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189739707,0.0,0.0,-3.0799549,0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189835693,0.0,0.0,-3.0799549,-0.0,-0.030814016,-0.0,0.0,0.9995251,0.08,0.0,1,0,0,0,0,0,0
189939819,0.0,0.0,-3.07409,0.34919837,-0.033744916,-0.0,0.0,0.9994305,0.08,0.0,1,0,0,0,0,0,0
190043744,0.0,0.0,-3.0734122,0.54141027,-0.034083635,-0.0,0.0,0.999419,0.08,0.0,1,0,0,0,0,0,0
190141285,0.0,0.0,-3.073126,0.58441186,-0.0342266,-0.0,0.0,0.99941415,0.08,0.0,1,0,0,0,0,0,0
190245226,0.0,0.0,-3.0724878,0.6705536,-0.034545537,-0.0,0.0,0.9994032,0.08,0.0,1,0,0,0,0,0,0
190349875,0.0,0.0,-3.0720305,0.7012731,-0.034774043,-0.0,0.0,0.9993952,0.0862472,0.0,1,0,0,0,0,0,0
190445733,0.0,0.0,-3.070324,0.60818523,-0.035626814,-0.0,0.0,0.9993652,0.14042886,0.0,1,0,0,0,0,0,0
190549444,0.0,0.0,-3.0700998,0.5305277,-0.035738796,-0.0,0.0,0.9993612,0.15508506,0.0,1,0,0,0,0,0,0
190653300,0.0,0.0,-3.0697627,0.5347653,-0.035907254,-0.0,0.0,0.99935514,0.12418315,0.0,1,0,0,0,0,0,0
190749566,0.0,0.0,-3.069734,0.5485096,-0.035921548,-0.0,0.0,0.99935466,0.13975406,0.0,1,0,0,0,0,0,0
190854096,0.0,0.0,-3.0690112,0.352481,-0.036282755,-0.0,0.0,0.99934155,0.15496276,0.0,1,0,0,0,0,0,0
190957450,0.0,0.0,-3.0680397,0.40604421,-0.03676821,-0.0,0.0,0.99932384,0.1847201,0.0,1,0,0,0,0,0,0
191054991,0.0,0.0,-3.0672338,0.31369448,-0.03717086,-0.0,0.0,0.99930894,0.199296,0.0,1,0,0,0,0,0,0
191159497,0.0,0.0,-3.0677571,-0.0,-0.036909375,-0.0,0.0,0.9993186,0.23567818,0.0,1,0,0,0,0,0,0
191263518,0.0,0.0,-3.0677571,-0.0,-0.036909375,-0.0,0.0,0.9993186,0.26270264,0.0,1,0,0,0,0,0,0
191366951,0.0,0.0,-3.0643218,0.14551277,-0.038625844,-0.0,0.0,0.99925375,0.25800255,0.0,1,0,0,0,0,0,0
191462868,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.99930245,0.23779956,0.0,1,0,0,0,0,0,0
191567135,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.26268232,0.0,1,0,0,0,0,0,0
191671381,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.2650325,0.0,1,0,0,0,0,0,0
191766843,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.2714744,0.0,1,0,0,0,0,0,0
191868524,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.3003908,0.0,1,0,0,0,0,0,0
191972471,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.99930245,0.30821392,0.0,1,0,0,0,0,0,0
192076521,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.3190917,0.0,1,0,0,0,0,0,0
192181284,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.32338426,0.0,1,0,0,0,0,0,0
192285230,0.0,0.0,-3.066887,0.0,-0.03734419,-0.0,0.0,0.9993025,0.32593617,0.0,1,0,0,0,0,0,0
192380979,0.0,0.0,-3.066887,0.0,-0.03734419,-0.0,0.0,0.9993025,0.33401552,0.0,1,0,0,0,0,0,0
192484507,0.0055187983,-0.010659897,-3.066887,-0.0,-0.03735822,0.0052231387,0.0029564723,0.9992839,0.33654433,0.0,1,0,0,0,0,0,0
192589929,0.03774806,-0.03847322,-3.066887,-0.0,-0.037693407,0.01851392,0.019574463,0.99892604,0.3421157,0.0,1,0,0,0,0,0,0
192684693,0.034358025,-0.035545766,-3.066887,0.0,-0.03763786,0.017115528,0.017827054,0.9989858,0.3467767,0.0,1,0,0,0,0,0,0
192786116,0.044613242,-0.04571485,-3.066887,0.0,-0.037834577,0.022001076,0.023136701,0.9987738,0.34457794,0.0,1,0,0,0,0,0,0
192890011,0.05720538,-0.057554375,-3.066887,0.0,-0.038135767,0.02767383,0.02964108,0.9984494,0.34614947,0.0,1,0,0,0,0,0,0
192994569,0.052480686,-0.050980516,-3.066887,-0.0,-0.037987463,0.024481457,0.027161995,0.99860895,0.34542158,0.0,1,0,0,0,0,0,0
193090061,0.04776796,-0.047163483,-3.066887,-0.0,-0.037885886,0.022664793,0.024738725,0.9987186,0.3686715,0.0,1,0,0,0,0,0,0
193194678,0.039034467,-0.038623724,-3.066887,-0.0,-0.03770672,0.018564845,0.020219749,0.99891174,0.4016401,0.0,1,0,0,0,0,0,0
193298523,0.036807436,-0.037150506,-3.066887,0.0,-0.037673,0.01787097,0.01908019,0.9989481,0.4052147,0.0,1,0,0,0,0,0,0
193394806,0.03681734,-0.037065666,-3.066887,0.0,-0.037672337,0.017828409,0.01908357,0.9989488,0.44912836,0.0,1,0,0,0,0,0,0
193498213,0.038366374,-0.038394332,-3.066887,0.0,-0.0376984,0.018462861,0.019881826,0.9989208,0.46152925,0.0,1,0,0,0,0,0,0
193602906,0.037599664,-0.036878068,-3.066887,-0.0,-0.037677612,0.017719965,0.019470848,0.99894315,0.4819039,0.0,1,0,0,0,0,0,0
193700466,0.025818033,-0.024158686,-3.066887,-0.0,-0.037494168,0.01158759,0.013349758,0.9991405,0.4846939,0.0,1,0,0,0,0,0,0
193803648,0.022697845,-0.023122946,-3.066887,0.0,-0.0374704,0.011128629,0.011771722,0.9991664,0.48961627,0.0,1,0,0,0,0,0,0
193908951,0.018825958,-0.016847385,-3.066887,0.0,-0.037420448,0.008065841,0.009720498,0.9992198,0.4918398,0.0,1,0,0,0,0,0,0
194004200,-0.0002736113,-5.487466e-05,-3.066887,-0.0,-0.037344187,3.2527085e-05,-0.0001356856,0.9993025,0.49099457,0.0,1,0,0,0,0,0,0
194107844,-1.00420834e-07,3.5702623e-08,-3.066887,-0.0,-0.03734419,-1.5963792e-08,-5.0842036e-08,0.99930245,0.4920199,0.0,1,0,0,0,0,0,0
194212213,0.0,0.0,-3.066887,-0.0,-0.03734419,-0.0,0.0,0.9993025,0.4920353,0.0,1,0,0,0,0,0,0
194307870,-0.00807244,0.0073222206,-3.066887,0.0,-0.037358403,-0.0035077904,-0.004170086,0.99928707,0.49203548,0.0,1,0,0,0,0,0,0
194411574,6.2994936e-06,-5.532996e-06,-3.066887,0.0,-0.03734419,2.6469434e-06,3.250862e-06,0.9993025,0.49277458,0.0,1,0,0,0,0,0,0
194515812,-2.1603506e-09,-7.6677625e-10,-3.066887,0.0,-0.03734419,4.234589e-10,-1.0651043e-09,0.9993025,0.49200773,0.0,1,0,0,0,0,0,0
194617398,0.013278219,-0.029013813,-3.066887,0.0,-0.03743568,0.0142480545,0.007175449,0.9991717,0.49225408,0.0,1,0,0,0,0,0,0
194721313,0.049734395,-0.04902671,-3.066887,0.0,-0.037930455,0.023557957,0.025754882,0.99867064,0.49201035,0.0,1,0,0,0,0,0,0
194817276,0.052205328,-0.052170306,-3.066887,0.0,-0.03799904,0.025080781,0.027046308,0.9985968,0.49204344,0.0,1,0,0,0,0,0,0
