timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
209955497,209955222,0.044463355,-0.016023839,-0.013763312,0.5463746,0.0,0.0,0.0,0.0
209959495,209959259,0.02070751,-0.04104959,-0.013218837,0.5420891,0.0,0.0,0.0,0.0
209963415,209963222,0.017355893,-0.028687624,-0.014693433,0.5420891,0.0,0.0,0.0,0.0
209967476,209967228,0.034718942,-0.019972434,-0.012481458,0.5420891,0.0,0.0,0.0,0.0
209971416,209971222,0.0073327115,-0.032770135,-0.015459968,0.5420891,0.0,0.0,0.0,0.0
209975505,209975222,0.0283665,-0.016393501,-0.015796278,0.5420891,0.0,0.0,0.0,0.0
209979458,209979221,0.014153202,-0.035018116,-0.011831551,0.5420891,0.0,0.0,0.0,0.0
209983418,209983222,-0.0077540725,-0.029803641,-0.014174744,0.5388552,0.0,0.0,0.0,0.0
209987506,209987263,0.030149369,-0.010364943,-0.01509144,0.5388552,0.0,0.0,0.0,0.0
209991421,209991221,0.00648288,-0.03133759,-0.01122152,0.5388552,0.0,0.0,0.0,0.0
209995460,209995221,0.006097338,-0.01919967,-0.015831271,0.5388552,0.0,0.0,0.0,0.0
209999460,209999222,0.02980462,-0.013056466,-0.015060272,0.53562665,0.0,0.0,0.0,0.0
210003642,210003223,-0.0009878352,-0.021025976,-0.010551586,0.53562665,0.0,0.0,0.0,0.0
210007455,210007221,0.017391326,-0.0061341347,-0.017011331,0.53562665,0.0,0.0,0.0,0.0
210011420,210011221,0.025313718,-0.018443951,-0.017754266,0.53562665,0.0,0.0,0.0,0.0
210015477,210015237,-0.0030490232,-0.012244347,-0.01113232,0.53562665,0.0,0.0,0.0,0.0
210019470,210019228,0.026841495,0.009869463,-0.015785139,0.53562665,0.0,0.0,0.0,0.0
210023471,210023261,0.010817464,-0.015576002,-0.01384504,0.52801573,0.0,0.0,0.0,0.0
210027684,210027222,-0.0003311981,0.0023934164,-0.013285568,0.52801573,0.0,0.0,0.0,0.0
210031417,210031221,0.02071789,0.010912146,-0.015889183,0.52801573,0.0,0.0,0.0,0.0
