timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,fix_type,vel_ned_valid,satellites_used
193380498,1553071371600027,0,0,-17000,0,63.676003,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
193580484,1553071371800027,0,0,-17000,0,63.707005,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
193781481,1553071372000027,0,0,-17000,0,63.739002,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
193980395,1553071372200027,0,0,-17000,0,63.770004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
194183573,1553071372400027,0,0,-17000,0,63.802002,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
194383411,1553071372600027,0,0,-17000,0,63.833004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,8,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
194582548,1553071372800027,0,0,-17000,0,63.864002,3.1415925,4294967.5,3750002.0,99.99,99.99,74,8,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
194782555,1553071373000027,0,0,-17000,0,63.896004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,8,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
194981548,1553071373200027,0,0,-17000,0,63.927002,3.1415925,4294967.5,3750002.0,99.99,99.99,74,8,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
195179506,1553071373400027,0,0,-17000,0,63.958004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,8,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
195383483,1553071373600027,0,0,-17000,0,63.989002,3.1415925,4294967.5,3750002.0,99.99,99.99,74,7,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
195583547,1553071373800027,0,0,-17000,0,64.021,3.1415925,4294967.5,3750002.0,99.99,99.99,74,7,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
195779900,1553071374000027,0,0,-17000,0,64.052,3.1415925,4294967.5,3750002.0,99.99,99.99,74,7,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
195983570,1553071374200027,0,0,-17000,0,64.083,3.1415925,4294967.5,3750002.0,99.99,99.99,74,7,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
196180483,1553071374400027,0,0,-17000,0,64.114006,3.1415925,4294967.5,3750002.0,99.99,99.99,74,7,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
196380482,1553071374600027,0,0,-17000,0,64.145004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
196579520,1553071374800027,0,0,-17000,0,64.177,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
196780514,1553071375000026,0,0,-17000,0,64.208,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
196980481,1553071375200026,0,0,-17000,0,64.239006,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
197180481,1553071375400026,0,0,-17000,0,64.270004,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
197382065,1553071375600026,0,0,-17000,0,64.301,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
197579484,1553071375800026,0,0,-17000,0,64.332,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
197779692,1553071376000026,0,0,-17000,0,64.36301,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
197983584,1553071376200026,0,0,-17000,0,64.394005,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
198182676,1553071376400026,0,0,-17000,0,64.425,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
198379522,1553071376600026,0,0,-17000,0,64.456,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
198582634,1553071376800026,0,0,-17000,0,64.48801,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
198780525,1553071377000026,0,0,-17000,0,64.519005,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
198980577,1553071377200026,0,0,-17000,0,64.55,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
199179694,1553071377400026,0,0,-17000,0,64.58,3.1415925,4294967.5,3750002.0,99.99,99.99,74,31,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
199382627,1553071377600026,0,0,-17000,0,64.611,3.1415925,4294967.5,3750002.0,99.99,99.99,74,34,0.0,0.0,0.0,0.0,0.0,0,nan,0,0,0
