timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
208474851,0.49790123,0.09499498,-2.6662245,0.4916873,0.5015225,0.50638133,0.49767506,-2.422966,-1.5989666,-1.6071949,-1.6096001,-1.6087456,0.046958685,-1.2059433,-1.2265211,-1.2388824,-1.2242489,0.009593482,0.39339724,0.29488105,0.14115119,0.160977
208674851,0.4816221,3.1452987,-2.6402466,0.48661786,0.49566987,0.49955466,0.48792592,-1.0439548,-1.763998,-1.7747154,-1.7785912,-1.7740765,-0.9133694,-1.1800811,-1.2035189,-1.2160664,-1.1929412,0.32255286,0.29085588,0.19038321,0.08577098,0.11043717
208874854,-2.6055715,0.88787967,-2.611967,0.47139654,0.47949576,0.482217,0.46720892,0.05659485,-1.8561344,-1.8681498,-1.8724928,-1.8631935,-1.8018017,-1.3491566,-1.3732207,-1.3842545,-1.3507695,0.9065441,0.042953517,0.024091925,0.010221014,0.016189469
209074860,-2.5858104,0.3361913,-2.5895915,0.453215,0.46051133,0.46226385,0.44451,0.4594574,-1.906003,-1.9176702,-1.921422,-1.9076815,-1.9792843,-1.1931698,-1.2142105,-1.2217352,-1.1797957,0.9638065,0.011995127,0.008066136,0.008066136,0.008066136
209274851,-0.59076685,2.4296978,-2.5650432,0.43804038,0.4445722,0.4454332,0.4252891,1.2658443,-1.7144833,-1.7256165,-1.7286615,-1.7109289,-2.2450447,-1.222086,-1.2414727,-1.2463641,-1.1959138,0.48229784,0.1403042,0.12579931,0.12579931,0.12579931
209474851,0.41313753,0.116935305,-2.5491881,0.4175815,0.42345312,0.42355877,0.40146938,1.7419643,-1.7035065,-1.7137527,-1.715972,-1.6952152,-2.2469819,-1.1221261,-1.139606,-1.1419411,-1.0843911,0.013142552,0.26840073,0.21781276,0.21482646,0.28581747
209674888,0.38547647,0.051943816,-2.5401912,0.39154756,0.39679804,0.3962011,0.37235126,2.201357,-1.6393824,-1.6487103,-1.6501665,-1.6271954,-2.3581746,-1.200592,-1.2164035,-1.2165437,-1.15308,0.005880114,0.26152632,0.19390467,0.19065705,0.3480318
209874851,0.31571773,0.020279948,-2.579133,0.3238532,0.3283701,0.32725334,0.3022241,2.6647568,-1.4982777,-1.5061274,-1.5069342,-1.4848528,-2.0466123,-1.1006455,-1.1148119,-1.1128888,-1.044116,0.0022263383,0.2468532,0.17036638,0.16835089,0.4122032
210074851,0.34668955,0.013785866,-2.5218787,0.35703027,0.3613994,0.35982993,0.33365974,2.329546,-1.3968191,-1.4029417,-1.4034615,-1.3858595,-1.7092662,-1.1112418,-1.1223998,-1.1192493,-1.0552487,0.0014758575,0.22901352,0.14965904,0.14921086,0.4706408
210274892,0.344699,0.006087634,-2.5094788,0.35633835,0.3605144,0.35871798,0.33194324,1.2803497,-1.2747288,-1.279459,-1.2799492,-1.267314,-1.2333889,-0.8915973,-0.89893293,-0.89576626,-0.84669876,0.0005432503,0.21705164,0.13724898,0.13768488,0.5074712
210474851,0.35368848,0.011432196,-2.4933047,0.36629647,0.37039134,0.36849293,0.3414093,0.05170822,-1.0554619,-1.0592155,-1.059742,-1.0509605,-1.0085974,-0.7334509,-0.73712873,-0.73500204,-0.70637417,0.0012025139,0.21083245,0.13102177,0.13178849,0.52515477
210674851,0.3782226,0.006935782,-2.4656608,0.3909334,0.39500487,0.39308098,0.36590543,-1.0652885,-1.0196762,-1.0227737,-1.0232849,-1.0168095,-0.7828803,-0.47924805,-0.48024607,-0.4792738,-0.46800613,0.00064647035,0.20911749,0.12874609,0.12947996,0.53201
