timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
132404859,15264851,49.0896256,2.1103528,-0.792167,0.1441186,-0.5407517,0.0007406403,-0.003378704,0.0,0.026993543,-0.0006372495,-0.0029181405,0.0031629854,0.0024132254,-0.020157471,0.022179201,0.016348211,0.012320484,0.019406715,0.6490367,-0.0019224319,85.56228,0.10200021,0.23476093,0.39240026,0.12756848,0.105345316,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132504907,15264851,49.0896256,2.1103528,-0.7867174,0.14355655,-0.5397578,0.0007406403,-0.003378704,0.0,0.02839117,-0.0010667004,-0.0027811446,0.0040999013,0.0024132254,-0.020157471,0.022179201,0.032898482,-0.000601596,0.024048306,0.6491627,-0.0019224319,85.56228,0.100957066,0.24365965,0.39421794,0.13209349,0.10675388,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132604855,15264851,49.0896256,2.1103528,-0.7811556,0.14224878,-0.5397618,0.0007406403,-0.003378704,0.0,0.028595654,-0.000840676,-0.0027470374,0.0038631144,0.0024132254,-0.020157471,0.022179201,-0.00754018,0.0048144776,-0.016104922,0.64928794,-0.0019224319,85.56228,0.1,0.23452722,0.391623,0.12751564,0.10526137,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132704866,15264851,49.0896256,2.1103528,-0.77642155,0.1411846,-0.5392078,0.0007406403,-0.003378704,0.0,0.028408514,-0.0010305778,-0.0031864655,0.003736165,0.0024132254,-0.020157471,0.022179201,0.0016095226,0.0015199245,0.007834047,0.64925545,-0.0019224319,85.56228,0.10175213,0.24342586,0.3934313,0.13204154,0.10666699,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132804872,15264851,49.0896256,2.1103528,-0.77115816,0.14051193,-0.53941303,0.0007406403,-0.003378704,0.0,0.02962361,-0.0011144502,-0.002764591,0.0036966482,0.0024132254,-0.020157471,0.022179201,0.040050726,0.0017561188,0.042409703,0.6492382,-0.0019224319,85.56228,0.1,0.23433258,0.39083642,0.12747271,0.10517419,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
132904872,15264851,49.0896256,2.1103528,-0.76646745,0.13996089,-0.5399515,0.0007406403,-0.003378704,0.0,0.03085488,-0.0020696737,-0.0027289211,0.00292084,0.0024132254,-0.020157471,0.022179201,0.013226434,-0.0073504606,0.0031195078,0.64920473,-0.0019224319,85.56228,0.1,0.24323215,0.3951037,0.13199945,0.10684663,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133004886,15264851,49.0896256,2.1103528,-0.76134187,0.13934892,-0.5430489,0.0007406403,-0.003378704,0.0,0.031491157,-0.002447962,-0.0032544313,-0.00078105927,0.0024132254,-0.020157471,0.022179201,0.006184634,0.0019872005,0.009015509,0.6492358,-0.0019224319,85.56228,0.1,0.23417115,0.39246222,0.12743255,0.10534255,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133104863,15264851,49.0896256,2.1103528,-0.7567982,0.13886665,-0.5455253,0.0007406403,-0.003378704,0.0,0.031819083,-0.0017283255,-0.0044234167,-0.0040497505,0.0024132254,-0.020157471,0.022179201,0.017541535,-0.012011499,-0.016687261,0.6493115,-0.0019224319,85.56228,0.1,0.24307223,0.39424318,0.1319589,0.106741756,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133204875,15264851,49.0896256,2.1103528,-0.75237495,0.13890724,-0.5487404,0.0007406403,-0.003378704,0.0,0.031319786,-0.0014445793,-0.005860426,-0.00798744,0.0024132254,-0.020157471,0.022179201,-0.015365822,0.0126525415,-0.0270636,0.6493811,-0.0019224319,85.56228,0.1,0.23409776,0.39162982,0.12748536,0.10525713,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
133304880,15264851,49.0896256,2.1103528,-0.7485499,0.13896,-0.55111617,0.0007406403,-0.003378704,0.0,0.030302024,-0.0004689409,-0.006085938,-0.009464833,0.0024132254,-0.020157471,0.022179201,-0.031707186,0.012855713,0.023369284,0.6493892,-0.0019224319,85.56228,0.1,0.24301049,0.3934109,0.13201214,0.10665633,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
