timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
128484851,-0.00038316523,0.0071755876,0.0030796838,5003,0,-0.2547245,0.0052971845,-9.729507,5003,0
128489848,-0.0021306658,0.009812929,0.00081362156,4997,0,-0.24527308,-0.0073574996,-9.793634,4997,0
128494900,-6.382891e-06,0.010284217,-0.0003254622,5052,0,-0.25374725,0.00051511044,-9.804943,5052,0
128499848,-0.0016908934,0.011648007,-0.0002994558,4948,0,-0.24199088,0.00022711726,-9.759856,4948,0
128504848,-0.00075454207,0.014318482,-0.0008849996,5000,0,-0.22409683,-0.008979398,-9.7230625,5000,0
128509859,0.0034720923,0.012373019,-0.003713256,5011,0,-0.3437495,-0.02768037,-9.7774515,5011,0
128514856,0.0015957379,0.013757844,-0.0014174539,4997,0,-0.29310396,-0.074471734,-9.751028,4997,0
128519864,0.0027108032,0.0127850035,-0.002228464,5008,0,-0.20335226,-0.046655387,-9.769942,5008,0
128524848,0.00036916888,0.015099977,-0.004227623,4984,0,-0.3981873,-0.07165538,-9.795683,4984,0
128529906,-0.004859634,0.020076154,-0.0025335932,5058,0,-0.20948774,-0.053356826,-9.674417,5058,0
128534851,-0.004974542,0.016955387,-0.0034588748,4945,0,-0.32944328,-0.049938153,-9.913155,4945,0
128539848,-0.0017488024,0.016568484,-0.0010269183,4997,0,-0.28105548,-0.11866273,-9.822398,4997,0
128544848,-0.004767176,0.014326854,-0.00012253679,5000,0,-0.2899837,-0.04091701,-9.782026,5000,0
128549848,-0.009024666,0.016134845,-0.0033194162,5000,0,-0.30895066,-0.049995817,-9.913402,5000,0
128554851,-0.0032103425,0.015241611,-0.0010291223,5003,0,-0.25715512,-0.1490025,-9.872724,5003,0
128559848,-0.004807982,0.014164802,-0.00413107,4997,0,-0.2640637,-0.052396674,-9.919231,4997,0
128564848,-0.00039687334,0.01640042,-0.0037190104,5000,0,-0.24490473,-0.065320395,-9.816643,5000,0
128569848,0.0009910672,0.017657757,-0.0026393968,5000,0,-0.20674558,-0.11883643,-9.895282,5000,0
128574851,0.00043188423,0.02013996,-0.0041345344,5003,0,-0.21277416,0.009396568,-9.918934,5003,0
128579889,0.00016004844,0.016532686,-0.007842486,5038,0,-0.2537513,-0.03668004,-9.896542,5038,0
128584848,-0.0014860326,0.013501931,-0.0042019486,4959,0,-0.28264093,-0.06738181,-9.906853,4959,0
128589848,-0.0008845007,0.010270807,-0.0016032143,5000,0,-0.2352443,-0.004790283,-9.875104,5000,0
128594851,-0.003967619,0.010542431,-0.006016089,5003,0,-0.18381931,-0.0005569937,-9.89066,5003,0
128599849,-0.0056791916,0.0081241755,-0.0075533036,4998,0,-0.2124851,-0.012419987,-9.919175,4998,0
128604848,-0.0032258779,0.008266249,-0.0061114226,4999,0,-0.27750194,-0.019189278,-9.987593,4999,0
128609848,-0.004774599,0.0055488585,-0.005575591,5000,0,-0.25465018,-0.033822667,-9.976899,5000,0
128614851,-0.0031591712,0.0024299466,-0.008388884,5003,0,-0.24344938,-0.03871619,-9.969628,5003,0
128619848,-0.0038667554,0.0019892226,-0.011049755,4997,0,-0.26870957,-0.052402277,-9.94496,4997,0
128624848,-0.0023631223,0.0019335783,-0.011136227,5000,0,-0.25129983,-0.04539972,-9.959289,5000,0
128629849,-0.0019966518,0.0018704378,-0.011788216,5001,0,-0.2181009,-0.027230218,-9.99508,5001,0
128634851,-0.0024452263,0.00032408658,-0.0123767555,5002,0,-0.21707824,-0.06354896,-10.024901,5002,0
128639851,-0.00088169536,-0.00039766368,-0.01302711,5000,0,-0.21546246,-0.040210575,-10.000923,5000,0
128644851,-0.0030164376,-0.0051954626,-0.012292937,5000,0,-0.2004779,-0.043972902,-9.905591,5000,0
128649851,-0.0005372271,-0.0043871906,-0.011415538,5000,0,-0.1734471,-0.07432415,-9.859538,5000,0
128654854,0.0010565282,-0.00421435,-0.011150058,5003,0,-0.13990687,-0.089524016,-9.899093,5003,0
128659860,0.0026610398,-0.00471254,-0.012375586,5006,0,-0.20244582,-0.07716005,-9.906156,5006,0
128664851,0.0031224706,-0.0052759983,-0.012721122,4991,0,-0.19688997,-0.078296855,-9.82582,4991,0
128669851,0.0034609835,-0.005854707,-0.014199348,5000,0,-0.20042236,-0.103341,-9.786405,5000,0
128674854,0.0019107751,-0.005366232,-0.0112740295,5003,0,-0.21129885,-0.09428935,-9.778903,5003,0
128679854,5.513503e-05,-0.0052049877,-0.011668252,5000,0,-0.17037812,-0.06909579,-9.782709,5000,0
128684882,-0.0013421822,-0.004049357,-0.009197416,5028,0,-0.21341811,-0.084438786,-9.775055,5028,0
128689848,-0.0027500212,-0.0030908568,-0.007830745,4966,0,-0.20977065,-0.0848256,-9.802592,4966,0
128694851,-0.005892876,-0.0024173,-0.0064766477,5003,0,-0.22657216,-0.09973266,-9.826627,5003,0
128699848,-0.0042827385,-0.003154423,-0.0074097766,4997,0,-0.20206963,-0.10193285,-9.770233,4997,0
128704871,-0.00019513853,0.00040862206,-0.0048340173,5023,0,-0.208485,-0.093339525,-9.721499,5023,0
128709848,0.00232536,9.134641e-05,-0.0053783883,4977,0,-0.23542573,-0.12520415,-9.757573,4977,0
128714851,0.0031204252,0.0031238308,-0.003876987,5003,0,-0.24230553,-0.12829019,-9.750199,5003,0
128719856,0.004510593,0.0043496466,-0.0044734403,5005,0,-0.22922514,-0.11140494,-9.737077,5005,0
128724852,0.008979099,0.0050325864,-0.0027489434,4996,0,-0.2599453,-0.069391504,-9.746052,4996,0
128729849,0.007744096,0.0035445187,-0.00070282,4997,0,-0.24359092,-0.081501134,-9.73142,4997,0
128734851,0.009192057,0.0060649267,-0.00035176807,5002,0,-0.2658565,-0.067677274,-9.71535,5002,0
128739848,0.0074329367,0.007455005,-0.00016285347,4997,0,-0.27008075,-0.089204356,-9.687867,4997,0
128744848,0.008572252,0.006856789,0.0009938193,5000,0,-0.307401,-0.08996722,-9.731226,5000,0
128749857,0.0043292125,0.00698111,0.002507802,5009,0,-0.3104935,-0.08066165,-9.784154,5009,0
128754851,0.003729807,0.007239695,0.005599712,4994,0,-0.2969751,-0.071859784,-9.810049,4994,0
128759848,0.0034142982,0.008615301,0.0036521975,4997,0,-0.2852531,-0.053132992,-9.833827,4997,0
128764851,0.0053605814,0.009920463,0.0043354435,5003,0,-0.31985697,-0.059693858,-9.832437,5003,0
128769848,0.0056406916,0.008545852,0.0054065213,4997,0,-0.29116157,-0.05750376,-9.8701,4997,0
128774851,0.0057576136,0.0105776265,0.005816611,5003,0,-0.29651976,-0.055317126,-9.90423,5003,0
128779848,0.0062079118,0.008447122,0.0052508223,4997,0,-0.25563684,-0.036433004,-9.969972,4997,0
128784848,0.008310607,0.006044672,0.005024515,5000,0,-0.2369802,-0.05138333,-9.947421,5000,0
128789892,0.009324191,0.0024853298,0.0039414014,5044,0,-0.2613989,-0.03588285,-9.97222,5044,0
128794851,0.010426806,0.001042125,0.006211328,4959,0,-0.2161286,-0.050523035,-9.99338,4959,0
128799848,0.012716417,-0.0015616206,0.005971375,4997,0,-0.24308614,-0.04467658,-9.955208,4997,0
128804850,0.0097093,-0.000724675,0.005058066,5002,0,-0.255605,-0.040793788,-9.9756155,5002,0
128809853,0.012448498,-0.0026618496,0.004123574,5003,0,-0.27397338,-0.07477028,-10.013843,5003,0
128814851,0.015935376,-0.001590277,0.0033030366,4998,0,-0.26551813,-0.07087203,-9.967466,4998,0
128819850,0.012869494,-0.00073679467,-7.8861434e-05,4999,0,-0.27185762,-0.034774743,-9.942932,4999,0
128824864,0.011569506,5.5811128e-05,-0.00021671795,5014,0,-0.29505995,-0.03420326,-9.875338,5014,0
128829850,0.0073241624,-0.00018335323,-0.00075246027,4986,0,-0.31825337,-0.023338236,-9.916716,4986,0
128834862,0.0074114418,-0.0003452864,0.00058968324,5012,0,-0.3252598,-0.017883878,-9.919768,5012,0
128839848,0.0067483843,-0.00053407706,-0.00018237326,4986,0,-0.33265182,-0.043738082,-9.916094,4986,0
128844871,0.008782319,0.0022751598,-0.0015810895,5023,0,-0.2960575,-0.03385686,-9.896127,5023,0
128849848,0.009248531,0.0052073365,-0.0024279046,4977,0,-0.2883517,-0.017214853,-9.877025,4977,0
128854851,0.011598155,0.007695553,-0.002860981,5003,0,-0.25692993,-0.061983038,-9.87127,5003,0
128859848,0.016613245,0.0077837277,-0.005902274,4997,0,-0.27779204,-0.07600217,-9.878193,4997,0
