timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
89216648,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
89717441,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
90227454,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
90739094,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
91241542,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
91751402,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
92252183,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
92759124,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
93768829,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
94270180,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
94779170,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
95279248,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
95779285,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
96288698,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
96790172,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
97290181,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
97800197,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
98300952,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
98802178,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
99306295,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
99807227,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
100310472,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
100812553,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
101317550,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
101821439,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
102327164,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
102837514,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
103340176,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
103841448,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
104345877,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
104852227,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
105355856,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
107379177,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
107890486,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
108399166,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
108901451,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
109412212,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
109916117,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
110417394,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
110917470,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
111419288,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
111931247,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
112441498,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
112946455,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
113450202,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
113950277,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
114459123,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
114960214,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
115465061,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
115971343,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
116479075,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
116987279,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
117498973,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
119519237,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
120021373,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
120526211,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
121028961,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
121539348,25844539,305070143,304152607,305070143,10,2,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
