timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
68402822,68402347,-0.10134012,0.106908545,-0.09666482
68405320,68404850,-0.09709061,0.052885335,-0.034100097
68407812,68407347,-0.06664192,0.045382682,0.04740092
68410319,68409856,0.0060962085,0.028605452,-0.0034506076
68412819,68412353,0.13100119,-0.013981098,-0.03855831
68415323,68414850,0.2670266,0.0014300914,0.05161436
68417824,68417360,0.2893032,-0.02972994,0.10190235
68420344,68419863,0.105341725,-0.0041246046,0.03359064
68422831,68422355,-0.056020062,0.08854954,-0.010156976
68425320,68424852,-0.0002696621,0.10192422,0.023848733
68427814,68427349,0.16866991,0.09127801,-0.0006338621
68430316,68429847,0.24101979,0.02198157,-0.021562269
68432826,68432359,0.2031185,-0.08736655,0.009761284
68435321,68434850,0.24551864,-0.10505226,-0.022690978
68437826,68437349,0.13778934,-0.07581612,-0.023511568
68440356,68439847,-0.14213686,-0.086562864,0.12181226
68442812,68442347,-0.21013907,-0.041972242,0.20865631
68445356,68444897,-0.113101915,0.024465548,0.056595515
68447822,68447357,-0.046075575,-0.010320798,-0.103665076
68450310,68449847,0.042414356,0.019329326,-0.084805824
68452853,68452393,0.2065452,0.13187717,-0.036860835
68455327,68454853,0.25348756,0.09360088,-0.046344943
68457829,68457366,0.005338335,-0.07330764,-0.058647115
68460332,68459856,-0.19794269,-0.10656018,-0.12978442
68462845,68462383,-0.16482319,0.017284917,-0.20695268
68465315,68464850,-0.123205155,0.13168712,-0.101762705
68467848,68467388,0.00025191213,0.14413467,0.059345443
68470324,68469847,0.16975996,0.097012535,0.13777734
68472818,68472356,0.033513322,0.050031167,0.17286763
68475319,68474850,-0.09937023,-0.035991378,0.09320535
68477811,68477349,0.034850433,-0.17740963,-0.040973198
68480310,68479847,0.046340566,-0.2517123,-0.090368114
68482812,68482347,-0.012094155,-0.11799346,-0.082211375
68485316,68484850,0.08902344,0.107720114,-0.07638345
68487815,68487349,0.28446874,0.14458711,-0.0958328
68490336,68489865,0.43733644,0.048456386,-0.08058383
68492838,68492371,0.29967162,0.006582146,0.059124257
68495340,68494863,-0.013559115,-0.004358433,0.20601065
68497851,68497392,-0.14944173,0.005886017,0.17711261
68500310,68499847,-0.09424605,0.0733441,0.01507144
68502867,68502401,-0.07389866,0.10812475,-0.054704566
68505315,68504850,-0.098233424,0.045237597,0.046894196
68507861,68507394,-0.060589414,-0.028143061,0.08350141
68510328,68509850,-0.13973024,-0.024811514,0.0061889845
68512846,68512383,-0.09825417,0.014031011,-0.07532477
68515332,68514852,0.06696904,0.10063779,-0.10440338
68517852,68517377,-0.018542357,0.10699234,-0.05963337
68520320,68519847,-0.1564341,-0.028524913,0.025285821
68522870,68522407,-0.14681809,-0.05715667,0.09033317
68525318,68524849,-0.04890597,0.054247797,0.0791941
68527834,68527366,0.13588883,0.037204385,0.06515104
68530323,68529850,0.26181316,-0.10959682,0.059868123
68532897,68532431,0.17375228,-0.18752116,-0.009367215
68535344,68534870,0.015162534,-0.2384946,-0.027360512
68537844,68537376,-0.11080899,-0.19737953,-0.0011964276
68540313,68539847,-0.17211866,-0.011944325,-0.045347113
68545315,68544849,0.07816579,0.17169572,0.07895077
68547853,68547390,0.02328343,0.119356915,-0.034680355
68550344,68549887,-0.11024611,0.0065427907,-0.12085116
68552843,68552380,-0.16315198,-0.07442142,-0.07706741
68555332,68554857,-0.17589025,-0.015689943,-0.02430777
68557844,68557380,-0.09555783,0.058822226,-0.014646148
68560312,68559847,-0.014648322,0.06058351,-0.07548101
68562816,68562350,-0.01623889,0.021819966,-0.076404646
68565316,68564850,0.031396374,-0.09127625,-0.012506754
68567820,68567353,0.02454489,-0.2511166,-0.022151351
68570324,68569847,-0.067488216,-0.20239866,-0.03638854
