timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
122032409,0.109331295,-0.040682733,0.1541285,-0.98114014,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122037347,0.1092281,-0.03970359,0.15507911,-0.981042,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122042347,0.109178044,-0.039442215,0.15554371,-0.98098457,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122047405,0.10906433,-0.03852257,0.15630928,-0.980912,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122052395,0.10898517,-0.03798766,0.15698905,-0.9808331,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122057349,0.108891614,-0.037386946,0.15750346,-0.9807841,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122062347,0.108768165,-0.03645434,0.15832068,-0.9807014,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122067356,0.10867652,-0.03606403,0.15859528,-0.9806816,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122072369,0.10851668,-0.034966536,0.15932529,-0.9806207,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122077392,0.10841847,-0.03456065,0.1596507,-0.980593,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122082365,0.10827139,-0.033671636,0.1601253,-0.98056287,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122087358,0.10815875,-0.03296833,0.16052356,-0.9805341,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122092393,0.10804451,-0.032414433,0.1606444,-0.98054534,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122097380,0.10788959,-0.031385377,0.16110179,-0.98052084,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122102347,0.107781895,-0.0310244,0.16108777,-0.9805465,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122107347,0.107605524,-0.029954398,0.1613435,-0.9805571,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122112358,0.10748501,-0.029442115,0.16132742,-0.9805884,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
122117353,0.10733094,-0.028619545,0.16138472,-0.98062027,0.99997425,2.0154545e-09,6.882595e-10,-0.007182245,3
