timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
161224011,0,172.25858,172.64885,29.945,4923665
162233956,0,165.35858,162.95659,29.945,4923665
163232391,0,185.60858,183.97496,29.929998,4923665
164230225,0,215.65858,207.15201,29.945,4923665
165228711,0,219.00858,221.09189,29.98,4923665
166227675,0,231.45859,226.80956,29.925,4923665
167225431,0,234.70859,242.1875,29.955,4923665
168223770,0,227.95859,215.95927,29.945,4923665
170229782,0,248.60858,253.10861,29.955,4923665
171228338,0,236.90858,238.71605,29.925,4923665
172226358,0,213.95859,220.84134,29.945,4923665
173234979,0,218.45859,226.33041,29.949999,4923665
174233779,0,217.25858,218.93127,29.914999,4923665
175231532,0,223.00858,228.13042,29.96,4923665
176230151,0,214.40858,215.2613,29.96,4923665
179224763,0,189.40858,188.62607,29.929998,4923665
180234040,0,227.15858,221.59164,29.965,4923665
181232980,0,253.85858,249.68701,29.91,4923665
182231131,0,293.50858,292.18668,29.904999,4923665
183229679,0,264.0586,268.0726,29.865,4923665
184227963,0,233.90858,241.2815,29.89,4923665
185226855,0,264.2086,261.51788,29.92,4923665
186225194,0,278.50858,282.83124,29.9,4923665
187233713,0,259.85858,259.07703,29.869999,4923665
188232037,0,223.80858,227.3643,29.9,4923665
189230412,0,245.55858,243.86868,29.894999,4923665
190229391,0,245.60858,250.704,29.89,4923665
191227245,0,221.50858,227.8471,29.91,4923665
192226422,0,221.80858,235.31096,29.885,4923665
193225097,0,199.00858,202.20322,29.885,4923665
194234514,0,229.30858,232.75116,29.875,4923665
195232660,0,169.20859,179.56268,29.894999,4923665
196230792,0,189.35858,188.06967,29.865,4923665
197228933,0,204.50858,204.68149,29.925,4923665
198227714,0,211.50858,215.6722,29.89,4923665
199225701,0,203.05858,202.82991,29.869999,4923665
200224460,0,183.30858,192.72562,29.865,4923665
201234020,0,215.75858,213.18175,29.849998,4923665
202231889,0,225.95859,222.432,29.89,4923665
203230408,0,228.95859,231.07014,29.82,4923665
204228004,0,233.00858,231.02158,29.865,4923665
205226291,0,231.50858,234.4233,29.859999,4923665
206235164,0,228.95859,227.57047,29.845,4923665
207233950,0,243.20859,249.43683,29.88,4923665
208232225,0,265.9586,269.986,29.859999,4923665
209229920,0,260.35858,256.15506,29.84,4923665
212233798,0,212.20859,213.98804,29.81,4923665
213232011,0,173.45859,177.45805,29.849998,4923665
214230857,0,170.50858,173.11592,29.845,4923665
215229463,0,180.00858,175.9927,29.8,4923665
216227907,0,158.55858,156.71736,29.814999,4923665
217225681,0,153.95859,150.60954,29.804998,4923665
218234855,0,139.55858,139.42622,29.789999,4923665
219233083,0,140.65858,142.05017,29.795,4923665
220232020,0,137.15858,138.17496,29.824999,4923665
221232550,0,101.908585,104.13766,29.8,4923665
222231290,0,102.158585,100.11848,29.81,4923665
223229492,0,94.05858,92.62181,29.785,4923665
224227593,0,102.30858,101.65958,29.8,4923665
225226337,0,104.908585,105.410866,29.795,4923665
226235188,0,108.70858,108.69944,29.755,4923665
227233575,0,112.658585,115.6546,29.775,4923665
228233138,0,130.30858,126.19661,29.765,4923665
231226420,0,175.75858,177.22838,29.734999,4923665
232224564,0,201.25858,198.89896,29.75,4923665
233233442,0,217.00858,212.22008,29.789999,4923665
234232252,0,186.20859,198.82202,29.755,4923665
235231459,0,149.75858,154.41376,29.785,4923665
236230068,0,150.00858,155.29768,29.734999,4923665
237227882,0,147.85858,151.12119,29.76,4923665
238227014,0,158.05858,159.34877,29.755,4923665
239224720,0,155.05858,150.98665,29.734999,4923665
240233373,0,148.10858,148.35165,29.734999,4923665
241231935,0,141.05858,145.7836,29.715,4923665
243229361,0,98.908585,101.814766,29.724998,4923665
244227107,0,78.55858,79.35897,29.72,4923665
245225076,0,57.758583,64.3067,29.724998,4923665
246233705,0,41.10858,44.258278,29.74,4923665
247232206,0,-4.0414205,-4.1523085,29.689999,4923665
248230554,0,-5.34142,-5.4291973,29.75,4923665
249229416,0,-5.1914206,-5.1712437,29.71,4923665
250227915,0,-5.1914206,-5.192671,29.73,4923665
251226480,0,-5.1914206,-5.1892824,29.689999,4923665
