timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
103925258,21.2708,21.244333,0.0,0.0,0.0,0.0,0.28144294,1.0935445,nan,6,3.5407221,3.5407221,3.5407221,3.5407221,3.5407221,3.5407221,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
104225481,21.3692,21.236141,0.0,0.0,0.0,0.0,0.27871257,1.0939333,nan,6,3.539357,3.539357,3.539357,3.539357,3.539357,3.539357,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
104525517,21.115,21.237722,0.0,0.0,0.0,0.0,0.27923948,1.0938582,nan,6,3.5396204,3.5396204,3.5396204,3.5396204,3.5396204,3.5396204,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
104825562,21.2052,21.226807,0.0,0.0,0.0,0.0,0.27560073,1.0943768,nan,6,3.537801,3.537801,3.537801,3.537801,3.537801,3.537801,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
105125505,21.238,21.213167,0.0,0.0,0.0,0.0,0.27105457,1.0950254,nan,6,3.535528,3.535528,3.535528,3.535528,3.535528,3.535528,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
105425545,21.1068,21.204836,0.0,0.0,0.0,0.0,0.26827747,1.095422,nan,6,3.5341394,3.5341394,3.5341394,3.5341394,3.5341394,3.5341394,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
105725227,21.115,21.198647,0.0,0.0,0.0,0.0,0.2662142,1.0957168,nan,6,3.5331078,3.5331078,3.5331078,3.5331078,3.5331078,3.5331078,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
107525257,21.287199,21.20634,0.0,0.0,0.0,0.0,0.2687791,1.0953504,nan,6,3.5343902,3.5343902,3.5343902,3.5343902,3.5343902,3.5343902,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
107825224,21.32,21.239069,0.0,0.0,0.0,0.0,0.27968818,1.0937943,nan,6,3.5398448,3.5398448,3.5398448,3.5398448,3.5398448,3.5398448,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
108125541,21.4184,21.265615,0.0,0.0,0.0,0.0,0.28853732,1.0925355,nan,6,3.5442693,3.5442693,3.5442693,3.5442693,3.5442693,3.5442693,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
108435658,21.3282,21.286785,0.0,0.0,0.0,0.0,0.29559356,1.0915337,nan,6,3.5477974,3.5477974,3.5477974,3.5477974,3.5477974,3.5477974,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
108725604,21.344599,21.30275,0.0,0.0,0.0,0.0,0.30091506,1.0907794,nan,6,3.5504582,3.5504582,3.5504582,3.5504582,3.5504582,3.5504582,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
109025223,21.541399,21.34193,0.0,0.0,0.0,0.0,0.31397563,1.0889326,nan,6,3.5569885,3.5569885,3.5569885,3.5569885,3.5569885,3.5569885,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
109325720,21.4512,21.350939,0.0,0.0,0.0,0.0,0.31697828,1.088509,nan,6,3.5584898,3.5584898,3.5584898,3.5584898,3.5584898,3.5584898,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
