timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
84257398,32767,32767,32767,32767,-14,32767
84262391,-41,32767,32767,32767,32767,32767
84267402,32767,32767,32767,32767,32767,32767
84272384,-33,32767,32767,32767,32767,32767
84277390,32767,32767,32767,32767,-14,32767
84282373,-26,32767,32767,32767,32767,32767
84287394,32767,32767,32767,-30,32767,32767
84292394,-18,32767,32767,32767,32767,32767
84297350,32767,32767,32767,32767,-14,32767
84302347,-12,32767,32767,32767,32767,32767
84307347,32767,32767,32767,32767,32767,32767
84312399,-5,32767,32767,32767,32767,32767
84317349,32767,32767,32767,32767,-13,32767
84322350,3,32767,32767,32767,32767,32767
84327347,32767,32767,32767,32767,32767,32767
84332368,32767,32767,32767,32767,32767,32767
84337347,-40,32767,32767,32767,-14,32767
84342347,32767,32767,32767,32767,32767,32767
84347347,-33,32767,32767,-23,32767,32767
84352394,32767,32767,32767,32767,32767,32767
84357347,-26,32767,32767,32767,-14,32767
84362347,32767,32767,32767,32767,32767,32767
84367347,-19,32767,32767,32767,32767,32767
84372358,32767,32767,32767,32767,32767,32767
84377347,-12,32767,32767,32767,-14,32767
84382347,32767,32767,32767,32767,32767,32767
84387347,-5,32767,32767,32767,32767,32767
84392359,32767,32767,32767,32767,32767,32767
84397350,3,32767,32767,-18,-14,32767
84402350,32767,32767,32767,32767,32767,32767
84407347,32767,32767,32767,32767,32767,32767
84412396,-40,32767,32767,32767,32767,32767
84417359,32767,32767,32767,32767,-14,32767
84422347,-33,32767,32767,32767,32767,32767
84427347,32767,32767,32767,32767,32767,32767
84432400,-27,32767,32767,32767,32767,32767
84437350,32767,32767,32767,32767,-14,32767
84442347,-19,32767,32767,32767,32767,32767
84447347,32767,32767,32767,-17,32767,32767
84452397,-12,32767,32767,32767,32767,32767
84457391,32767,32767,32767,32767,-14,32767
84462347,-5,32767,32767,32767,32767,32767
84467347,32767,32767,32767,32767,32767,32767
84472396,3,32767,32767,32767,32767,32767
84477350,32767,32767,32767,32767,-14,32767
84482347,32767,32767,32767,32767,32767,32767
84487368,-40,32767,32767,32767,32767,32767
84492396,32767,32767,32767,32767,32767,32767
84497350,-33,32767,32767,32767,-14,32767
84502347,32767,32767,32767,32767,32767,32767
84507347,-26,32767,32767,-14,32767,32767
84512396,32767,32767,32767,32767,32767,32767
84517350,-18,32767,32767,32767,-14,32767
84522347,32767,32767,32767,32767,32767,32767
84527360,-11,32767,32767,32767,32767,32767
84532354,32767,32767,32767,32767,32767,32767
84537350,-4,32767,32767,32767,-13,32767
84542347,32767,32767,32767,32767,32767,32767
84547348,3,32767,32767,32767,32767,32767
84552367,32767,32767,32767,32767,32767,32767
84557353,32767,32767,32767,-11,-13,32767
84562395,-40,32767,32767,32767,32767,32767
84567350,32767,32767,32767,32767,32767,32767
84572396,-32,32767,32767,32767,32767,32767
84577350,32767,32767,32767,32767,-13,32767
84582350,-24,32767,32767,32767,32767,32767
84587350,32767,32767,32767,32767,32767,32767
84592396,-17,32767,32767,32767,32767,32767
84597368,32767,32767,32767,32767,-14,32767
84602350,-10,32767,32767,32767,32767,32767
84607350,32767,32767,32767,-8,32767,32767
84612396,-3,32767,32767,32767,32767,32767
84617350,32767,32767,32767,32767,-14,32767
84622355,4,32767,32767,32767,32767,32767
84627350,32767,32767,32767,32767,32767,32767
84632396,32767,32767,32767,32767,32767,32767
84637356,-37,32767,32767,32767,-13,32767
84642347,32767,32767,32767,32767,32767,32767
84647347,-30,32767,32767,32767,32767,32767
84652396,32767,32767,32767,32767,32767,32767
84657350,-23,32767,32767,32767,-14,32767
84662350,32767,32767,32767,32767,32767,32767
84667399,-16,32767,32767,0,32767,32767
84672396,32767,32767,32767,32767,32767,32767
84677398,-9,32767,32767,32767,-14,32767
84682347,32767,32767,32767,32767,32767,32767
84687356,-1,32767,32767,32767,32767,32767
84692396,32767,32767,32767,32767,32767,32767
84697376,6,32767,32767,32767,-14,32767
84702350,32767,32767,32767,32767,32767,32767
84707358,32767,32767,32767,32767,32767,32767
84712396,-37,32767,32767,32767,32767,32767
84717347,32767,32767,32767,3,-14,32767
84722356,-29,32767,32767,32767,32767,32767
84727347,32767,32767,32767,32767,32767,32767
84732396,-22,32767,32767,32767,32767,32767
84737350,32767,32767,32767,32767,-14,32767
84742353,-14,32767,32767,32767,32767,32767
84747354,32767,32767,32767,32767,32767,32767
84752399,-7,32767,32767,32767,32767,32767
84757350,32767,32767,32767,32767,-14,32767
84762354,0,32767,32767,32767,32767,32767
84767347,32767,32767,32767,7,32767,32767
84772376,32767,32767,32767,32767,32767,32767
84777350,-42,32767,32767,32767,-14,32767
84782351,32767,32767,32767,32767,32767,32767
84787347,-35,32767,32767,32767,32767,32767
84792358,32767,32767,32767,32767,32767,32767
84797350,-28,32767,32767,32767,-14,32767
84802347,32767,32767,32767,32767,32767,32767
84807347,-21,32767,32767,32767,32767,32767
84812353,32767,32767,32767,32767,32767,32767
84817350,-12,32767,32767,32767,-14,32767
84822347,32767,32767,32767,32767,32767,32767
84827347,-5,32767,32767,32767,32767,32767
84832356,32767,32767,32767,-40,32767,32767
84837350,2,32767,32767,32767,-14,32767
84842347,32767,32767,32767,32767,32767,32767
84847349,32767,32767,32767,32767,32767,32767
84852400,-41,32767,32767,32767,32767,32767
84857350,32767,32767,32767,32767,-14,32767
84862347,-33,32767,32767,32767,32767,32767
84867370,32767,32767,32767,32767,32767,32767
84872402,-26,32767,32767,32767,32767,32767
84877369,32767,32767,32767,32767,-14,32767
84882347,-18,32767,32767,-38,32767,32767
84887347,32767,32767,32767,32767,32767,32767
84892368,-11,32767,32767,32767,32767,32767
84897365,32767,32767,32767,32767,-14,32767
84902359,-4,32767,32767,32767,32767,32767
84907362,32767,32767,32767,32767,32767,32767
84912384,3,32767,32767,32767,32767,32767
84917347,32767,32767,32767,32767,-14,32767
84922347,32767,32767,32767,32767,32767,32767
84927357,-40,32767,32767,32767,32767,32767
84932379,32767,32767,32767,-35,32767,32767
84937396,-32,32767,32767,32767,-14,32767
84942395,32767,32767,32767,32767,32767,32767
84947392,-25,32767,32767,32767,32767,32767
84952366,32767,32767,32767,32767,32767,32767
84957400,-19,32767,32767,32767,-15,32767
84962398,32767,32767,32767,32767,32767,32767
84967392,-11,32767,32767,32767,32767,32767
84972380,32767,32767,32767,32767,32767,32767
84977372,-3,32767,32767,32767,-14,32767
84982408,32767,32767,32767,32767,32767,32767
84987396,4,32767,32767,32767,32767,32767
84992396,32767,32767,32767,-33,32767,32767
84997377,32767,32767,32767,32767,-13,32767
85002377,-39,32767,32767,32767,32767,32767
85007354,32767,32767,32767,32767,32767,32767
85012365,-32,32767,32767,32767,32767,32767
85017355,32767,32767,32767,32767,-13,32767
85022381,-24,32767,32767,32767,32767,32767
85027347,32767,32767,32767,32767,32767,32767
85032401,-18,32767,32767,32767,32767,32767
85037362,32767,32767,32767,32767,-13,32767
85042347,-10,32767,32767,-24,32767,32767
85047347,32767,32767,32767,32767,32767,32767
85052400,-4,32767,32767,32767,32767,32767
85057347,32767,32767,32767,32767,-13,32767
85062347,6,32767,32767,32767,32767,32767
85067355,32767,32767,32767,32767,32767,32767
85072399,32767,32767,32767,32767,32767,32767
85077347,-36,32767,32767,32767,-13,32767
85082347,32767,32767,32767,32767,32767,32767
85087388,-29,32767,32767,32767,32767,32767
85092397,32767,32767,32767,-22,32767,32767
85097349,-22,32767,32767,32767,-14,32767
85102347,32767,32767,32767,32767,32767,32767
85107347,-15,32767,32767,32767,32767,32767
85112410,32767,32767,32767,32767,32767,32767
85117347,-8,32767,32767,32767,-14,32767
85122347,32767,32767,32767,32767,32767,32767
85127345,0,32767,32767,32767,32767,32767
85132365,32767,32767,32767,32767,32767,32767
85137350,7,32767,32767,32767,-14,32767
85142347,32767,32767,32767,32767,32767,32767
85147347,32767,32767,32767,32767,32767,32767
85152397,-36,32767,32767,-18,32767,32767
85157349,32767,32767,32767,32767,-14,32767
85162350,-29,32767,32767,32767,32767,32767
85167357,32767,32767,32767,32767,32767,32767
85172400,-23,32767,32767,32767,32767,32767
