timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
202628898,49.089648461810675,2.110379728068591,86.3221,133.02429,-0.0,0.63451797,0.9328226,86.2165,2,0,1,0
202828849,49.08964849707014,2.110379701292751,86.320724,133.02536,-0.0,0.63447195,0.9324824,86.21161,2,0,1,0
203028851,49.08964853063678,2.11037966828298,86.317795,133.02422,-0.0,0.6345112,0.93215257,86.21048,2,0,1,0
203228849,49.0896485722708,2.110379638475291,86.31624,133.02415,-0.0,0.6345065,0.93285924,86.2123,2,0,1,0
203428902,49.089648624784225,2.1103796219736255,86.31247,133.02158,-0.0,0.6345024,0.9325332,86.20612,2,0,1,0
203628849,49.08964868049887,2.1103796082877024,86.31243,133.02231,-0.0,0.6344988,0.9322107,86.21373,2,0,1,0
203828849,49.08964872201926,2.110379606847025,86.31487,133.02518,-0.0,0.63449556,0.93292147,86.21602,2,0,1,0
204028864,49.08964875132873,2.11037961784149,86.31869,133.02899,-0.0,0.6344927,0.93258756,86.22137,2,0,1,0
204228849,49.08964875838298,2.110379607082707,86.322655,133.03275,-0.0,0.6344902,0.93225753,86.22323,2,0,1,0
204428849,49.08964876249438,2.110379592840261,86.32688,133.03633,-0.0,0.63448805,0.93296605,86.22964,2,0,1,0
204628849,49.08964877433434,2.1103795599811326,86.32832,133.03711,-0.0,0.6344862,0.9326393,86.224,2,0,1,0
204828867,49.08964877767488,2.1103794943480345,86.32701,133.0348,-0.0,0.6344846,0.93231595,86.22103,2,0,1,0
205028849,49.08964878198029,2.110379407917698,86.32328,133.02992,-0.0,0.6344832,0.9319959,86.214905,2,0,1,0
205228849,49.089648805464044,2.110379346423062,86.3231,133.02827,-0.0,0.634482,0.93271464,86.22505,2,0,1,0
205428871,49.089648831358915,2.110379303885601,86.321884,133.02563,-0.0,0.634481,0.9323929,86.21992,2,0,1,0
205628852,49.08964884366736,2.1103792480879577,86.320244,133.0223,-0.0,0.63448006,0.9320641,86.217476,2,0,1,0
205828849,49.089648830462586,2.110379190987252,86.31614,133.01642,-0.0,0.6345196,0.9327792,86.212166,2,0,1,0
206028849,49.08964882078386,2.110379139210267,86.30999,133.00833,-0.0,0.63451505,0.93245316,86.2035,2,0,1,0
206228885,49.089648822692105,2.1103790745070214,86.30515,133.00151,-0.0,0.6345109,0.932134,86.203156,2,0,1,0
206428851,49.08964881190055,2.110378993544495,86.30152,132.99603,-0.0,0.63450706,0.9328497,86.199455,2,0,1,0
206628857,49.089648798823326,2.110378909582874,86.30064,132.99353,-0.0,0.6345035,0.93253255,86.20273,2,0,1,0
206828855,49.08964880486658,2.11037884780669,86.30247,132.99368,-0.0,0.6345004,0.93221116,86.20441,2,0,1,0
207028849,49.08964880844944,2.1103788231001435,86.30154,132.99103,-0.0,0.6344976,0.9329196,86.20029,2,0,1,0
207228849,49.089648793438215,2.1103787987406823,86.30003,132.98764,-0.0,0.634495,0.9325938,86.198006,2,0,1,0
207428851,49.089648780160566,2.110378786305579,86.30125,132.98701,-0.0,0.6344927,0.93227124,86.204994,2,0,1,0
208828849,49.08964857049503,2.1103790274778857,86.30721,132.97697,-0.0,0.63451093,0.93215734,86.199165,2,0,1,0
209028859,49.0896485118783,2.110379076661868,86.299904,132.96706,-0.0,0.63450676,0.9318511,86.191124,2,0,1,0
209228851,49.08964847515658,2.1103791532764293,86.2909,132.95514,-0.0,0.634503,0.93257934,86.18304,2,0,1,0
209428871,49.089648472397094,2.110379234978928,86.2834,132.94485,-0.0,0.6344996,0.9322767,86.17935,2,0,1,0
209628849,49.089648479074036,2.1103793127524635,86.27665,132.93552,-0.0,0.63449657,0.9319759,86.17252,2,0,1,0
209828849,49.08964847417578,2.110379398220208,86.26873,132.92496,-0.0,0.6344938,0.9316802,86.16714,2,0,1,0
210028849,49.089648472337224,2.11037947261486,86.26181,132.9152,-0.0,0.6344509,0.9324113,86.15736,2,0,1,0
210228850,49.089648490409225,2.1103795403302685,86.253265,132.90393,-0.0,0.6344123,0.93211156,86.15073,2,0,1,0
210428896,49.089648502931105,2.110379618260953,86.2451,132.89325,-0.0,0.63441795,0.93181974,86.14528,2,0,1,0
210628858,49.089648486022405,2.110379706321822,86.241104,132.88681,-0.0,0.6344234,0.93255407,86.14698,2,0,1,0
