timestamp,voltage_v,rssi_v,free_memory_bytes,actuators[0],actuators[1],actuators[2],actuators[3],actuators[4],actuators[5],actuators[6],actuators[7],servos[0],servos[1],servos[2],servos[3],servos[4],servos[5],servos[6],servos[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_outputs_armed,status_override,status_rc_ok,status_rc_ppm,status_rc_dsm,status_rc_sbus,status_fmu_ok,status_raw_pwm,status_mixer_ok,status_arm_sync,status_init_ok,status_failsafe,status_safety_off,status_fmu_initialized,status_rc_st24,status_rc_sumd,alarm_vbatt_low,alarm_temperature,alarm_servo_current,alarm_acc_current,alarm_fmu_lost,alarm_rc_lost,alarm_pwm_error,alarm_vservo_fault,arming_io_arm_ok,arming_fmu_armed,arming_fmu_prearmed,arming_manual_override_ok,arming_failsafe_custom,arming_inair_restart_ok,arming_always_pwm_enable,arming_rc_handling_disabled,arming_lockdown,arming_force_failsafe,arming_termination_failsafe,arming_override_immediate
97000933,5.4570003,1.7110001,40,554,554,659,655,-10000,657,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
98023977,5.4620004,1.6560001,40,559,559,657,655,-10000,656,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
99035048,5.479,1.6790001,40,570,570,657,661,-10000,659,500,400,1528,1528,1532,1533,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
101060795,5.4810004,1.713,40,552,552,655,653,-10000,654,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
102081030,5.472,1.6790001,40,568,568,652,658,-10000,655,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
103103676,5.4690003,1.7190001,40,573,573,656,661,-10000,657,500,400,1528,1528,1532,1533,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
104135279,5.4810004,1.6980001,40,562,563,663,653,-10000,658,500,400,1528,1528,1533,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
105145071,5.399,1.6850001,40,529,529,653,649,-10000,651,500,400,1526,1526,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
106173907,5.4740005,1.6790001,40,574,574,654,658,-10000,656,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
107184064,5.4760003,1.6830001,40,559,559,656,658,-10000,657,500,400,1527,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
108199096,5.479,1.7040001,40,552,552,655,655,-10000,654,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
109214859,5.4690003,1.702,40,553,554,657,655,-10000,656,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
110238911,5.4960003,1.6750001,40,561,562,658,656,-10000,657,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
112260961,5.4690003,1.705,40,561,561,651,651,-10000,651,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
113280695,5.4880004,1.6630001,40,545,545,654,657,-10000,655,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
115321439,5.4740005,1.6620001,40,558,560,656,660,-10000,658,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
116333985,5.4690003,1.705,40,546,546,654,654,-10000,654,500,400,1527,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
117344171,5.4670005,1.697,40,567,567,658,660,-10000,659,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
120415197,5.472,1.687,40,560,560,658,654,-10000,656,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
121440877,5.479,1.674,40,562,562,656,658,-10000,657,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
122454953,5.4670005,1.677,40,570,570,655,657,-10000,656,500,400,1528,1528,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
123470810,5.4810004,1.6450001,40,539,541,656,652,-10000,654,500,400,1526,1527,1532,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
124500833,5.4690003,1.6960001,40,558,559,660,656,-10000,658,500,400,1527,1527,1533,1532,1000,1532,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
125522810,5.4880004,1.6680001,40,580,580,661,661,-10000,661,500,400,1529,1529,1533,1533,1000,1533,1525,1520,1514,1444,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
126545090,5.4760003,1.6980001,40,541,541,665,663,-10000,664,500,400,1527,1527,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
127560677,5.4880004,1.6660001,40,550,551,668,664,-10000,666,500,400,1527,1527,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
128588901,5.459,1.6570001,40,561,561,667,669,-10000,668,500,400,1528,1528,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
129614859,5.4670005,1.6780001,40,535,534,666,668,-10000,667,500,400,1526,1526,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
130628937,5.4690003,1.6450001,40,557,557,667,673,-10000,670,500,400,1527,1527,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
131644219,5.479,1.6700001,40,560,561,665,669,-10000,667,500,400,1528,1528,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
132659058,5.4740005,1.6700001,40,549,549,664,666,-10000,665,500,400,1527,1527,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
133688826,5.4810004,1.641,40,566,566,668,672,-10000,670,500,400,1528,1528,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
134714232,5.479,1.6880001,40,556,556,667,667,-10000,667,500,400,1527,1527,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
135745120,5.4690003,1.6910001,40,537,537,665,667,-10000,666,500,400,1526,1526,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
136769039,5.4760003,1.6850001,40,564,561,701,699,-10000,700,500,400,1528,1528,1535,1534,1000,1535,1525,1520,1514,1441,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
137793903,5.4880004,1.718,40,551,551,678,676,-10000,677,500,400,1527,1527,1533,1533,1000,1533,1525,1520,1514,1442,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
138809034,5.4690003,1.6850001,40,562,562,666,664,-10000,665,500,400,1528,1528,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
139825156,5.472,1.674,40,589,589,672,667,-10000,669,500,400,1529,1529,1533,1533,1000,1533,1525,1520,1514,1443,1934,1538,1934,1094,1514,1094,1514,1514,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
