timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
127811696,65333,1,1,1,0,0,0,0,0
128313401,65333,1,1,1,0,0,0,0,0
128816322,65333,1,1,1,0,0,0,0,0
129318174,65333,1,1,1,0,0,0,0,0
129818318,65333,1,1,1,0,0,0,0,0
130325311,65333,1,1,1,0,0,0,0,0
130827207,65333,1,1,1,0,0,0,0,0
131331975,65333,1,1,1,0,0,0,0,0
131833499,65333,1,1,1,0,0,0,0,0
132336551,65333,1,1,1,0,0,0,0,0
132838175,65333,1,1,1,0,0,0,0,0
133342364,65333,1,1,1,0,0,0,0,0
133845517,65333,1,1,1,0,0,0,0,0
134347178,65333,1,1,1,0,0,0,0,0
134852044,65333,1,1,1,0,0,0,0,0
135353453,65333,1,1,1,0,0,0,0,0
135856497,65333,1,1,1,0,0,0,0,0
136358173,65333,1,1,1,0,0,0,0,0
136866170,65333,1,1,1,0,0,0,0,0
137372414,65333,1,1,1,0,0,0,0,0
137874237,65333,1,1,1,0,0,0,0,0
138383314,65333,1,1,1,0,0,0,0,0
138885686,65333,1,1,1,0,0,0,0,0
139387246,65333,1,1,1,0,0,0,0,0
139892437,65333,1,1,1,0,0,0,0,0
140396472,65333,1,1,1,0,0,0,0,0
142411644,65333,1,1,1,0,0,0,0,0
142916405,65333,1,1,1,0,0,0,0,0
143418206,65333,1,1,1,0,0,0,0,0
143923250,65333,1,1,1,0,0,0,0,0
144425989,65333,1,1,1,0,0,0,0,0
144927174,65333,1,1,1,0,0,0,0,0
145431652,65333,1,1,1,0,0,0,0,0
145933284,65333,1,1,1,0,0,0,0,0
146436516,65333,1,1,1,0,0,0,0,0
146937187,65333,1,1,1,0,0,0,0,0
147438174,65333,1,1,1,0,0,0,0,0
147945394,65333,1,1,1,0,0,0,0,0
148445471,65333,1,1,1,0,0,0,0,0
148947281,65333,1,1,1,0,0,0,0,0
149453182,65333,1,1,1,0,0,0,0,0
149956602,65333,1,1,1,0,0,0,0,0
150458316,65333,1,1,1,0,0,0,0,0
152469294,65333,1,1,1,0,0,0,0,0
152978215,65333,1,1,1,0,0,0,0,0
153485527,65333,1,1,1,0,0,0,0,0
153992357,65333,1,1,1,0,0,0,0,0
154496429,65333,1,1,1,0,0,0,0,0
