timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
145630903,145629830,2359306,2359306,1.9814006e-05,1.9624217e-06,-7.865201e-07,0.00013225863,0.0018387667,-0.04925211,5002,5002,0
146130912,146129908,2359306,2359306,-5.5478133e-05,4.558249e-06,-2.2465003e-06,0.00025527723,0.0016746012,-0.04885024,4987,4987,0
146631080,146629988,2359306,2359306,8.243435e-06,1.0912453e-05,7.990737e-06,0.0002985837,0.0017507708,-0.04913967,4998,4998,0
147130923,147130069,2359306,2359306,2.038251e-05,1.4735597e-06,6.2279714e-06,0.00019256712,0.0016586485,-0.049151678,5000,5000,0
147630857,147630150,2359306,2359306,-3.7020935e-05,-1.12350135e-05,-1.1402059e-06,0.00023886253,0.001745258,-0.049014512,4989,4989,0
148130878,148130243,2359306,2359306,-2.7959755e-05,5.2093055e-06,-1.6085207e-07,0.00015363628,0.0017117113,-0.049151033,5011,5011,0
148630842,148630314,2359306,2359306,1.4964801e-05,1.0824673e-05,-3.673893e-06,0.00018561371,0.0016517874,-0.049137034,5002,5002,0
149132220,149130402,2359306,2359306,2.4149918e-05,4.765133e-06,-3.032677e-06,0.00031211108,0.0017199353,-0.049195394,5004,5004,0
149631170,149630479,2359306,2359306,-1.5051713e-06,1.2827932e-05,-9.444235e-06,0.00017277618,0.0015442698,-0.04921448,5001,5001,0
150131128,150130562,2359306,2359306,1.2111392e-05,1.2847628e-05,2.5194263e-06,0.00022802425,0.0016213846,-0.049286403,5002,5002,0
152631521,152631000,2359306,2359306,2.4570618e-05,3.054313e-06,-2.7477672e-06,0.00032592844,0.0017927213,-0.049098916,5019,5019,0
153131582,153131070,2359306,2359306,-1.7386283e-05,3.875951e-06,-3.6771582e-06,0.00028860904,0.0017817339,-0.04902887,5003,5003,0
153631674,153631156,2359306,2359306,-6.981755e-06,7.777639e-07,2.721736e-06,0.00021518325,0.0018817134,-0.049087204,5004,5004,0
154131768,154131242,2359306,2359306,-1.3262766e-05,2.1468602e-06,3.834936e-06,0.00012097416,0.0017159409,-0.049081482,4994,4994,0
154632056,154631346,2359306,2359306,2.9930603e-05,-4.419522e-06,-4.992686e-06,0.00014621174,0.0018011461,-0.04917172,5013,5013,0
155132172,155131414,2359306,2359306,-1.42664785e-05,1.0152568e-06,4.68108e-06,0.0002191961,0.0016259454,-0.04918688,4996,4996,0
155632086,155631503,2359306,2359306,9.9745565e-05,9.875042e-06,-1.9056455e-05,0.00027516572,0.0017431357,-0.04904173,5004,5004,0
156132119,156131595,2359306,2359306,-2.2680477e-05,1.223291e-07,-6.1177325e-06,0.00021743533,0.0018762997,-0.049254917,5005,5005,0
156632309,156631678,2359306,2359306,-0.00012354717,-8.090458e-06,1.1241605e-05,0.00020022111,0.0016388817,-0.049152005,5002,5002,0
157132300,157131764,2359306,2359306,5.349792e-07,-3.19563e-06,9.876637e-07,0.00014862,0.0014491752,-0.048990745,4977,4977,0
