timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
163616523,4,0,95,97,100,54,59
164663313,4,0,95,97,85,47,57
166607308,4,0,95,99,100,60,58
167653321,4,0,95,99,100,46,62
168705377,4,0,96,100,100,59,58
171613314,4,0,98,102,100,46,52
172621598,4,0,94,101,97,47,57
173676538,4,0,99,103,98,52,62
174702310,4,0,97,103,97,56,60
175646343,4,0,97,102,97,51,61
176666314,4,0,92,94,97,50,63
177613404,4,0,102,107,94,46,59
178632368,4,0,97,101,100,47,58
179688307,4,0,102,108,98,48,60
180635290,4,0,102,108,100,47,53
181645471,4,0,103,107,97,49,60
182681276,4,0,105,111,100,48,60
185682305,4,0,102,105,98,45,62
186626311,4,0,102,107,100,45,62
187701503,4,0,102,108,97,48,61
188703692,4,0,102,109,96,44,58
189626319,4,0,102,109,100,45,58
190674300,4,0,102,109,95,45,64
191615233,4,0,102,107,100,50,62
192623306,4,0,103,107,94,47,63
193665891,4,0,103,109,96,49,60
194713337,4,0,103,110,100,48,53
197612280,4,0,105,112,100,48,60
198632372,4,0,105,112,100,46,57
199662190,4,0,105,112,97,47,55
200717308,4,0,105,112,91,45,64
201661235,4,0,105,112,100,47,61
202678307,4,0,105,112,100,48,60
203648318,4,0,105,112,97,54,60
204641313,4,0,105,112,100,47,58
205691646,4,0,105,112,100,51,59
206636460,4,0,105,112,99,47,58
209625280,4,0,105,111,100,46,59
210658404,4,0,105,112,93,47,55
211693396,4,0,105,112,95,45,60
212627303,4,0,105,112,98,53,62
213696538,4,0,105,112,93,45,60
214602377,4,0,105,112,100,49,61
215627308,4,0,105,112,98,46,61
216692588,4,0,105,112,97,46,63
217696391,4,0,105,112,100,46,60
218627740,4,0,105,112,94,47,67
220715319,4,0,105,111,100,49,55
221642342,4,0,105,111,100,49,58
222691651,4,0,105,111,97,46,60
223623305,4,0,100,107,98,46,61
224632438,4,0,98,102,100,46,59
225675651,4,0,103,108,100,45,64
228685480,4,0,104,112,100,45,58
229741417,4,0,104,112,94,53,65
230646464,4,0,105,112,98,47,57
231705476,4,0,105,113,98,46,58
232628323,4,0,105,112,96,48,59
233661694,4,0,105,112,100,48,58
234695633,4,0,105,112,97,45,55
235635670,4,0,105,110,93,46,60
236668300,4,0,105,110,93,47,58
237712361,4,0,105,110,100,46,63
238616429,4,0,105,111,100,46,58
239601590,4,0,105,110,97,46,67
240602311,4,0,105,110,100,48,60
241638300,4,0,105,111,97,48,60
243607300,4,0,105,112,100,48,63
244645425,4,0,105,112,98,47,58
245605872,4,0,104,110,99,47,57
246725536,4,0,103,106,97,45,60
248692381,4,0,106,111,100,60,66
249626311,4,0,105,110,97,52,58
250647300,4,0,107,113,95,46,61
251605381,4,0,110,115,100,47,58
252622269,4,0,111,115,100,47,65
253775557,4,0,111,115,100,47,64
256666303,4,0,113,118,100,56,62
257612447,4,0,111,117,100,48,61
258615319,4,0,103,108,96,49,61
259672341,4,0,92,96,100,43,59
260696554,4,0,85,93,100,46,59
261636414,4,0,81,85,92,45,57
262681584,4,0,74,81,92,43,61
263603300,4,0,71,80,100,47,58
264651605,4,0,74,80,97,54,61
265692323,4,0,83,85,84,49,67
266615672,4,0,100,108,100,46,62
267645182,4,0,111,116,100,45,59
268715675,4,0,116,119,96,45,59
270655647,4,0,111,112,100,48,63
271693308,4,0,107,113,100,49,62
272622312,4,0,107,112,96,46,69
273656444,4,0,101,107,99,51,63
274707701,4,0,101,105,100,47,59
275626687,4,0,102,106,100,44,60
277605445,4,0,105,110,99,48,62
278621651,4,0,107,112,97,45,65
279658324,4,0,106,113,100,47,62
280723520,4,0,110,113,98,46,60
281667300,4,0,101,104,97,46,62
282662313,4,0,94,97,100,45,57
283712335,4,0,106,108,100,46,60
284641404,4,0,106,112,97,47,58
285678319,4,0,107,111,100,43,62
286708347,4,0,107,111,100,45,66
288812338,4,0,106,110,88,47,62
289611645,4,0,105,108,97,45,60
290642345,4,0,105,110,100,45,60
291813388,4,0,105,110,85,46,62
292621520,4,0,105,111,97,50,67
293658315,4,0,105,112,96,45,63
294615515,4,0,106,112,100,45,62
295625523,4,0,107,114,100,45,67
296668323,4,0,109,115,97,45,56
297686306,4,0,107,111,98,48,63
298625308,4,0,107,111,100,49,63
300705256,4,0,107,113,97,50,60
301627313,4,0,107,113,100,46,67
302675982,4,0,105,109,100,46,67
303618354,4,0,105,110,100,47,61
304631730,4,0,105,111,97,44,60
305671749,4,0,105,111,100,45,64
306598314,4,0,105,112,100,47,63
307638300,4,0,105,112,97,49,64
308671747,4,0,105,112,96,52,58
309717470,4,0,105,114,100,51,57
310641612,4,0,105,115,100,47,69
312612320,4,0,106,115,100,48,64
