timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
408821342,78908.54,229.91313,506,20330,5521,14336,0,3,133
409821563,79146.055,229.93507,507,20534,8193,14336,0,3,133
410821598,79388.79,229.9721,507,20747,4749,14336,0,3,133
411822203,79628.125,229.99876,507,20954,6070,14336,0,3,133
412822709,79870.0,230.03262,507,21159,4730,14336,0,3,133
413823507,80108.0,230.055,508,21363,6944,14336,0,3,133
415825143,80313.28,229.32626,515,21780,4270,14336,0,3,133
416825368,80551.62,229.35178,515,21988,6178,14336,0,3,133
417825831,80789.484,229.37566,520,22198,4749,14336,0,3,133
418826632,81027.19,229.3987,520,22406,7276,14336,0,3,133
419826641,81268.984,229.43369,522,22611,4790,14336,0,3,133
420827585,81504.58,229.45041,525,22816,7346,14336,0,3,133
421828226,81741.016,229.46962,530,23024,5310,14336,0,3,133
423829998,81891.13,228.60638,534,23435,8771,14336,0,3,133
424830344,82129.57,228.63353,537,23647,8978,14336,0,3,133
425830627,82366.84,228.65733,538,23863,10270,14336,0,3,133
426830776,82604.875,228.68321,543,24071,10270,14336,0,3,133
427830804,82852.0,228.73412,546,24232,6945,14336,0,3,133
428831593,83114.51,228.82658,546,24257,7866,14336,0,3,133
429831671,83379.09,228.92471,546,24277,7338,14336,0,3,133
430832343,83644.82,229.02505,546,24300,5830,14336,0,3,133
431832468,83906.72,229.11475,546,24321,7825,14336,0,3,133
432833191,84172.16,229.2132,546,24344,7011,14336,0,3,133
433833332,84432.195,229.29683,546,24376,9380,14336,0,3,133
435834002,84806.62,229.06906,553,24432,5211,14336,0,3,133
436837366,85068.6,229.15567,553,24471,5672,14336,0,3,133
439837901,85268.625,227.8528,557,24570,5024,14336,0,3,133
440837906,85530.08,227.94234,557,24598,6513,14336,0,3,133
442840206,86006.445,227.99525,561,24659,4326,14336,0,3,133
443840317,86267.48,228.08253,561,24699,4688,14336,0,3,133
444840434,86525.49,228.16139,561,24731,9161,14336,0,3,133
445840451,86790.6,228.25854,561,24760,6304,14336,0,3,133
446841025,87052.0,228.34512,561,24796,6612,14336,0,3,133
447841259,87317.17,228.44133,561,24823,4443,14336,0,3,133
448842358,87578.54,228.52669,561,24856,5858,14336,0,3,133
449842540,87836.0,228.60179,567,24886,9032,14336,0,3,133
450842665,88102.0,228.6988,567,24917,5711,14336,0,3,133
451843444,88362.93,228.78178,570,24935,6795,14336,0,3,133
452843505,88620.0,228.85481,575,24955,9936,14336,0,3,133
453845922,88886.0,228.94905,575,24975,8563,14336,0,3,133
454846058,89152.0,229.04416,575,24995,6647,14336,0,3,133
455847020,89418.0,229.1383,575,25015,4823,14336,0,3,133
456847333,89670.0,229.19655,583,25035,10746,14336,0,3,133
